ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate (Hours),Parent
1,Epic,Platform Foundation,"Establish the complete development infrastructure, cloud hosting environment, authentication system, shared TypeScript packages, and API gateway that ALL subsequent service epics depend on. This epic covers Sprints 0 and 1 (Weeks 1–4). No end-user features are delivered; the output is a fully operational development and staging environment with a working authentication and authorisation flow. Completion of this epic is the hard gate for starting Epic 2 onwards. Reference: Wiki/15-roadmap.md Sprint 0 and Sprint 1.","- Every engineer can clone the repo and run docker compose up in under 2 minutes
- GKE Autopilot staging cluster operational with Istio mTLS enforced
- All Tier 0 data stores running in staging (Postgres, Redis, NATS, Neo4j, Elasticsearch, Temporal, S3)
- Auth Service end-to-end: Google OAuth login returns valid RS256 JWT
- Apollo Router federated gateway running; JWT validation enforced at gateway
- All shared packages (ast, events, proto, common, db) compile with zero TypeScript errors
- CI pipeline green on main branch",1,New,ScriptOS,ScriptOS\Sprint 0,platform; foundation; sprint-0; sprint-1,,,
2,Feature,Development Environment and Monorepo Setup,"Set up the monorepo scaffold (pnpm workspaces + Turborepo + Cargo workspace), Docker Compose local development environment, and the GitHub Actions CI/CD pipeline. The goal is to give every engineer a zero-friction onboarding experience: clone, install, and the entire local stack is running. CI enforces code quality on every pull request. This feature is the first thing built in Sprint 0 because every other task in the project depends on a working build system. Reference: Wiki/15-roadmap.md Sprint 0 tasks 1–2.","- pnpm install completes without errors across macOS, Windows WSL2, and Linux
- docker compose up starts Postgres, Redis, NATS, and Neo4j locally in under 2 minutes
- pnpm build runs successfully with Turborepo caching across all packages and services
- GitHub Actions CI triggers on every PR: lint, typecheck, test, and Docker build all pass
- ESLint import restriction rule is enforced: services may not import from other services
- Turborepo affected mode ensures only changed packages are rebuilt in CI",1,New,ScriptOS,ScriptOS\Sprint 0,monorepo; devops; ci-cd; sprint-0,,,Platform Foundation
3,User Story,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes,"A new engineer joining the team should be able to be productive on day one without manual dependency installation or environment configuration. The local stack must include all Tier 0 services (Postgres, Redis, NATS, Neo4j) so service development can start immediately. The monorepo structure must enforce workspace-level dependency management and build caching from day one to prevent the slow CI times that plague large TypeScript monorepos. Reference: Wiki/15-roadmap.md Sprint 0 task — Create monorepo.","- pnpm install at repo root installs all workspace dependencies without errors
- docker compose up starts: Postgres 16, Redis 7, NATS 2.10 with JetStream, Neo4j 5, Elasticsearch 8.9 in under 2 minutes on a standard dev machine (8-core, 16 GB RAM)
- Each container has a health check; docker compose up --wait returns only when all services are healthy
- .env.example documents every required environment variable with placeholder values and inline comments
- pnpm build runs the Turborepo build pipeline with caching; second run uses cache and completes in under 30 seconds
- Cargo workspace builds successfully (no Rust code yet, but workspace.toml is valid and cargo check passes)",1,New,ScriptOS,ScriptOS\Sprint 0,monorepo; developer-experience; sprint-0,5,,Development Environment and Monorepo Setup
4,Task,Initialize monorepo root structure with pnpm workspaces Turborepo and Cargo workspace,"Create the top-level monorepo configuration files. pnpm-workspace.yaml must declare all workspace globs. turbo.json must define the full pipeline topology (build depends on ^build, test depends on build, lint has no deps, typecheck has no deps). Cargo.toml must include the Tauri on-set app as a workspace member. The directory skeleton (packages/, services/, workers/, apps/, infra/) must be created with placeholder README files. This is the first task in the project and blocks everything else.",,1,New,ScriptOS,ScriptOS\Sprint 0,monorepo; setup; sprint-0,,8,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes
5,Task,Write docker-compose.yml for local development stack,"Create docker-compose.yml at repo root with the following named services: postgres (image: postgres:16, port 5432, volume for data persistence, POSTGRES_PASSWORD from env), redis (image: redis:7-alpine, port 6379), nats (image: nats:2.10-alpine, port 4222 + 8222 management, JetStream enabled via -js flag), neo4j (image: neo4j:5-community, ports 7474 + 7687, NEO4J_AUTH from env), elasticsearch (image: elasticsearch:8.9.0, port 9200, single-node discovery, xpack.security.enabled=false for dev). All services must have healthcheck definitions. Add a depends_on chain so service containers wait for healthy infrastructure.",,1,New,ScriptOS,ScriptOS\Sprint 0,docker; local-dev; sprint-0,,8,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes
6,Task,Write .env.example with all required environment variable placeholders,"Create .env.example at repo root documenting every environment variable used across all services and packages. Each variable must have: a descriptive inline comment, a safe placeholder value (never a real credential), and a note if it is required vs optional. Categories to cover: database connection strings (Postgres, Redis, Neo4j, Elasticsearch), cloud service credentials (S3, Temporal, Frame.io), JWT signing (RS256 private key path), feature flags (UNLEASH_URL), AI API keys (ANTHROPIC_API_KEY, OPENAI_API_KEY). Create a separate .env.local.example for Docker Compose local overrides.",,2,New,ScriptOS,ScriptOS\Sprint 0,configuration; developer-experience; sprint-0,,4,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes
7,Task,Configure Turborepo pipeline with correct task dependency topology and remote caching,"Write turbo.json at repo root defining the build pipeline. Tasks: build (outputs: dist/**, .next/**, dependsOn: [^build]), test (dependsOn: [build], outputs: coverage/**), lint (no dependsOn, no outputs), typecheck (no dependsOn, no outputs). Configure pipeline.dev for watch mode. Set up Turborepo remote cache pointing to Vercel Remote Cache (or self-hosted if budget constraints apply — decision to be made Sprint 0 week 1). Document cache keys and explain why cross-service imports are prohibited in pipeline topology comments.",,1,New,ScriptOS,ScriptOS\Sprint 0,monorepo; build; sprint-0,,4,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes
8,Task,Configure Cargo workspace root for Tauri Rust backend,"Create Cargo.toml at repo root as a Cargo workspace with members = [apps/onset/src-tauri]. Set rust-edition to 2021. Add workspace-level lints configuration (clippy::all = warn). Create apps/onset/src-tauri/Cargo.toml with placeholder tauri dependency. Verify cargo check passes on empty workspace. This unblocks Sprint 10 (Tauri on-set app) without requiring Rust work now.",,2,New,ScriptOS,ScriptOS\Sprint 0,rust; tauri; monorepo; sprint-0,,4,As a developer I can clone the repo and start the full local development stack with a single docker compose up command in under 2 minutes
9,User Story,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge,"Engineers should never merge broken code. The CI pipeline must catch TypeScript errors, import violations, test failures, and unbuildable Docker images before they reach main. Turborepo affected mode ensures CI only runs against packages changed in the PR, keeping CI times under 10 minutes even as the codebase grows. The import restriction ESLint rule enforces the architectural constraint that services must never import from other services — cross-service communication goes through gRPC only. Reference: Wiki/16-system-design.md dependency rule, Wiki/15-roadmap.md Sprint 0.","- GitHub Actions CI workflow triggers on every pull request to main
- CI runs in this order: lint (ESLint), typecheck (tsc --noEmit), test (Vitest), build (Docker)
- Turborepo affected mode: only packages and services changed in the PR are linted, typechecked, and tested
- ESLint catches and fails CI when a service imports directly from another service (import/no-restricted-paths rule)
- Docker images are built for all changed services but not pushed to registry on PRs
- Docker images are built and pushed to GCR on merge to main with tag = git commit SHA
- CI completes in under 10 minutes for a typical single-service PR",1,New,ScriptOS,ScriptOS\Sprint 0,ci-cd; quality; sprint-0,3,,Development Environment and Monorepo Setup
10,Task,Create GitHub Actions CI workflow for lint typecheck test and Docker build,"Create .github/workflows/ci.yml. Triggers: pull_request (branches: [main]), push (branches: [main]). Jobs: (1) lint-typecheck: checkout, pnpm install with frozen lockfile, run pnpm turbo lint typecheck --filter=...[HEAD~1] (affected mode). (2) test: checkout, pnpm install, run pnpm turbo test --filter=...[HEAD~1]. (3) docker-build: checkout, set up Docker Buildx, build Docker image for each service changed in PR (use git diff to determine changed services), tag with PR SHA. On push to main: add docker-push job that pushes images to GCR with SHA tag and latest tag.",,1,New,ScriptOS,ScriptOS\Sprint 0,ci-cd; github-actions; sprint-0,,8,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge
11,Task,Configure ESLint with import restriction rules to prevent cross-service imports,"Create .eslintrc.js (or eslint.config.js for flat config) at repo root. Install: eslint, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, eslint-plugin-import. Add rule: import/no-restricted-paths with patterns that prevent services/* from importing from other services/*. Pattern: { from: services/*, to: services/*, message: Cross-service imports are forbidden. Use gRPC APIs instead. } Also add rules: no-console (warn), @typescript-eslint/no-explicit-any (warn), @typescript-eslint/no-unused-vars (error). Create .eslintignore for dist/ and generated/ directories.",,1,New,ScriptOS,ScriptOS\Sprint 0,lint; architecture; sprint-0,,4,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge
12,Task,Configure Vitest workspace for unit testing across all packages and services,"Create vitest.workspace.ts at repo root referencing all packages/* and services/* directories. Each package/service will have its own vitest.config.ts when created — this workspace file discovers them. Configure coverage provider (v8), coverage thresholds (branches: 60%, lines: 70% — baseline, not production target), and reporters (text, html, json for CI). Add test script to each package.json: vitest run. Wire test task into Turborepo pipeline. Verify vitest passes on empty test suites.",,2,New,ScriptOS,ScriptOS\Sprint 0,testing; vitest; sprint-0,,4,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge
13,Task,Create multi-stage Dockerfile template for TypeScript services,"Create infra/docker/Dockerfile.service as the canonical multi-stage template for all Node.js TypeScript services. Stages: (1) deps: node:20-alpine, copy package.json + pnpm-lock.yaml, pnpm install --frozen-lockfile --prod=false. (2) build: copy source, run pnpm turbo build --filter=<service>. (3) runtime: node:20-alpine, copy built output from build stage, copy node_modules from deps stage (prune dev deps), set NODE_ENV=production, add non-root user (node:node), HEALTHCHECK, CMD [node, dist/index.js]. Document how each service customises the template via build args.",,1,New,ScriptOS,ScriptOS\Sprint 0,docker; devops; sprint-0,,8,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge
14,Task,Configure GCR image registry and push workflow for main branch merges,"Create .github/workflows/release.yml triggered on push to main. Steps: authenticate to GCP using Workload Identity Federation (no service account keys), configure Docker to use gcloud as credential helper, build and push each service image to GCR (us-central1-docker.pkg.dev/scriptos/services/<service-name>) tagged with both git-sha and latest. Create the GCR repository via Terraform (infra/terraform/registry.tf). Document the image naming convention and retention policy (keep last 10 images per service).",,1,New,ScriptOS,ScriptOS\Sprint 0,ci-cd; docker; gcr; sprint-0,,8,As a developer every pull request is validated by a CI pipeline that enforces lint typecheck tests and Docker build before merge
15,Feature,Cloud Infrastructure Provisioning,"Provision all cloud infrastructure required for the staging environment: GKE Autopilot cluster, Istio service mesh, observability stack (OpenTelemetry + Prometheus + Grafana + Loki), all data stores (PostgreSQL, Redis, NATS, Neo4j, Elasticsearch, Temporal, S3), and secret management. All infrastructure is defined as code (Terraform + Helm) and reproducible from scratch. This feature must be complete before any service can be deployed to staging. Reference: Wiki/15-roadmap.md Sprint 0, Wiki/12-infrastructure.md.","- Terraform apply provisions the full staging stack from scratch without errors
- GKE Autopilot cluster running with kubectl get nodes returning 3+ nodes
- Istio mTLS enforced between all service namespaces
- All data stores healthy and accessible from within the cluster
- OpenTelemetry traces visible in Grafana/Jaeger for a hello-world service
- All secrets stored in GCP Secret Manager and mounted via External Secrets Operator",1,New,ScriptOS,ScriptOS\Sprint 0,infrastructure; devops; sprint-0,,,Platform Foundation
