ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
288,Epic,Legal Rights & Compliance,"Sprint 15 delivers the full Legal Service replacing the Sprint 8 stub: rights tags on script versions (option, purchase, underlying rights), NDA access gates blocking script access without a signed NDA, legal holds preventing deletion of assets under hold, and the complete validateScriptPolicy gRPC replacing the stub that always returned passed. Sprint 16 focuses on security hardening and accessibility: penetration test findings remediation, input validation (Zod on all GraphQL mutations), global API rate limiting, RBAC matrix automated tests, SOC 2 Type I readiness evidence package, database backup verification, load test (500 concurrent users; P99 < 500ms), WCAG 2.2 AA audit and remediation, and Lighthouse score ≥ 90. This epic is the last before GA hardening (Sprint 17-18) and ensures the platform is legally, securely, and accessibly ready for public release. Reference: Wiki/15-roadmap.md Sprints 15 and 16, Wiki/11-security-compliance.md.","- validateScriptPolicy blocks publish when rights are missing or NDA not signed
- NDA gate: writer without signed NDA receives 403 accessing script content
- Legal hold: held assets return 403 on delete; hold reason in audit log
- Watermark extraction recovers recipient ID from watermarked test PDF (confidence > 0.95)
- GDPR data export produces complete JSON package for a test user
- All pentest critical/high findings resolved; medium findings triaged with owners
- WCAG 2.2 AA audit passed: all Level A + AA criteria pass axe-core automated scan
- Load test: 500 concurrent users; P99 latency < 500ms; error rate < 0.1%
- SOC 2 Type I readiness package complete",1,New,ScriptOS,ScriptOS\Sprint 15,legal; rights; nda; gdpr; security; wcag; soc2; sprint-15; sprint-16,,,
289,Feature,Legal Service — Rights Tags NDA Gates and Legal Holds,"Full implementation of the Legal Service replacing the Sprint 8 stub. Rights tags on script versions (option/purchase/underlying rights status). NDA gate middleware blocking access without signed NDA. Legal hold preventing deletion of any held asset. Full validateScriptPolicy gRPC checking rights tags, NDA status, and continuity violations. Reference: Wiki/11-security-compliance.md, Wiki/15-roadmap.md Sprint 15.","- Rights tags CRUD; linked to script versions
- NDA gate: 403 returned for unsigned writers on NDA-gated scripts
- Legal hold: DELETE returns 403 with hold reason; hold reason in audit log
- validateScriptPolicy full: returns policy violations for rights gaps, NDA missing, unresolved ERROR continuity violations
- Legal Service GraphQL subgraph federated",1,New,ScriptOS,ScriptOS\Sprint 15,legal; rights; nda; hold; sprint-15,,,Legal Rights & Compliance
290,Feature,GDPR and Account Management,"GDPR data export (all user data in JSON), right-to-be-forgotten cascade deletion (all services, AI ledger entries anonymized not deleted — WGA compliance requirement). Account deletion confirmation flow with grace period. Reference: Wiki/11-security-compliance.md, Wiki/15-roadmap.md Sprint 15.","- exportUserData(userId) returns complete JSON package: profile, scripts authored, AI ledger entries (anonymized), collaboration events
- Account deletion cascade: user record soft-deleted; data anonymized across all services within 30 days
- AI ledger entries: user_id replaced with SHA-256 hash (anonymized but not deleted — WGA compliance)
- GDPR download and delete account UI functional in user settings",2,New,ScriptOS,ScriptOS\Sprint 15,gdpr; privacy; account; sprint-15,,,Legal Rights & Compliance
291,Feature,Security Hardening — Pentest Remediation Input Validation Rate Limiting and SOC 2,"Penetration test remediation (all critical/high findings), input validation (Zod on all GraphQL mutations), global rate limiting at HTTP Gateway (1000 req/min per user), RBAC matrix automated test, database encryption at rest verification, secrets rotation, SOC 2 Type I evidence collection, backup restoration verification, load test (500 concurrent users). Reference: Wiki/11-security-compliance.md, Wiki/15-roadmap.md Sprint 16.","- All pentest critical/high findings resolved; medium findings have owners and ETAs
- Every GraphQL mutation validates with Zod; invalid input returns 400 with validation errors
- Global rate limiting: 1000 req/min per user; 429 returned with Retry-After header
- RBAC matrix test: automated test covers all role × resource combinations
- Load test: 500 concurrent users; P99 < 500ms; error rate < 0.1%
- SOC 2 Type I evidence package assembled
- All secrets rotated; old credentials revoked",1,New,ScriptOS,ScriptOS\Sprint 16,security; pentest; soc2; rate-limiting; sprint-16,,,Legal Rights & Compliance
292,Feature,Accessibility — WCAG 2.2 AA Audit and Remediation,"WCAG 2.2 AA external audit + full remediation of findings. Keyboard navigation, screen reader support (NVDA/VoiceOver), contrast ratios, aria-live for collaboration events, Tauri on-set app keyboard navigation, Lighthouse score ≥ 90 on editor page. Reference: Wiki/11-security-compliance.md, Wiki/15-roadmap.md Sprint 16.","- WCAG 2.2 AA audit passed: all Level A + AA criteria pass axe-core automated scan
- NVDA/VoiceOver can navigate script structure and editor
- Lighthouse performance score ≥ 90 on editor page
- Tauri on-set app: take logging operable without mouse",2,New,ScriptOS,ScriptOS\Sprint 16,accessibility; wcag; a11y; sprint-16,,,Legal Rights & Compliance
293,User Story,As a legal team member I can enforce rights tags NDA access gates and legal holds on scripts to protect intellectual property and meet contractual obligations,"Rights management is a legal requirement for every professional production. Options, purchases, and underlying rights must be tracked on each script version. NDA gates prevent unauthorized access. Legal holds are required for litigation preservation. The validateScriptPolicy gRPC is the trust anchor for the publish workflow. Reference: Wiki/11-security-compliance.md.","- Rights tags: option, purchase, underlying-rights types; linked to script versions; CRUD via GraphQL
- Rights status visible in script settings panel: 'Option: Active', 'Purchase: Not yet', etc.
- NDA gate: unsigned writers see 'Sign NDA to access this script' modal; access denied until signed
- Legal hold: held scripts show 'Legal Hold — contact legal@company.com' indicator; export disabled; 403 on delete
- validateScriptPolicy full: returns violations array for publish-saga; blocks lock when rights missing or NDA incomplete",1,New,ScriptOS,ScriptOS\Sprint 15,legal; rights; nda; hold; sprint-15,8,,Legal Service — Rights Tags NDA Gates and Legal Holds
294,User Story,As a platform user I have the right to export all my data or delete my account with GDPR compliance and my AI ledger entries are anonymised not deleted,"GDPR (Articles 15 and 17) requires data portability and right to erasure. However, WGA compliance requires AI ledger entries to remain for auditing purposes — deletion is not allowed. Anonymisation (replacing user_id with a pseudonymous hash) satisfies both requirements. Reference: Wiki/11-security-compliance.md.","- 'Download my data' button in account settings produces JSON download within 60s
- JSON export includes: user profile, scripts authored (metadata only), collaboration sessions, AI ledger entries (with user_id anonymized to hash)
- Account deletion: confirmation modal with 30-day grace period notice; account deactivated immediately; data cascade completes within 30 days
- AI ledger entries after deletion: user_id = SHA-256(userId + salt), email = '[deleted]'; rows NOT removed (WGA requirement)
- Audit log entry created on data export and on account deletion initiation",2,New,ScriptOS,ScriptOS\Sprint 15,gdpr; privacy; user-rights; sprint-15,5,,GDPR and Account Management
295,User Story,As a security team member the platform passes an external penetration test and a 500-user load test with no critical findings and P99 under 500ms,"A failed pentest before GA is a showstopper. A P99 > 500ms under moderate load indicates architectural issues that must be resolved before production scaling. SOC 2 Type I is required for enterprise sales. All three outcomes must be verified before GA is declared. Reference: Wiki/11-security-compliance.md.","- External pentest: all critical and high findings resolved before GA; report reviewed by engineering lead
- Input validation: every GraphQL mutation protected by Zod schema; automated test asserts 400 on bad input
- Global rate limit: 1000 req/min per user enforced at HTTP Gateway; test confirms 429 with Retry-After
- RBAC matrix: automated test covers 7 roles × all protected resources; no unauthorised access paths found
- Load test (k6 or Gatling): 500 concurrent users, 10 min duration, P99 < 500ms, error rate < 0.1%
- SOC 2 Type I evidence: audit log completeness > 99%, backup restoration tested, key management documented",1,New,ScriptOS,ScriptOS\Sprint 16,security; pentest; load-test; soc2; sprint-16,13,,Security Hardening — Pentest Remediation Input Validation Rate Limiting and SOC 2
296,User Story,As a user with accessibility needs I can use the ScriptOS web app and Tauri on-set app with a screen reader and keyboard navigation meeting WCAG 2.2 AA standard,"Professional screenplay tools are used by writers and supervisors with a wide range of accessibility needs. WCAG 2.2 AA is both a legal requirement in many jurisdictions and a moral imperative. Screen reader support and keyboard navigation must be first-class features, not afterthoughts. Reference: Wiki/11-security-compliance.md.","- External WCAG 2.2 AA audit completed; all Level A and AA criteria pass automated axe-core scan after remediation
- NVDA (Windows) and VoiceOver (macOS) can navigate the script editor: scene list, take logging panel, and collaboration presence
- Keyboard shortcut Cmd+K (search), Cmd+Shift+A (AI suggest), Tab (cycle element type), all documented and functional
- aria-live regions announce: new collaborator cursor appearing, suggestion panel opening, approval status update
- Tauri on-set app: full take logging workflow operable via keyboard only (Tab, Space, Enter)
- Lighthouse CI: editor page scores ≥ 90 performance, ≥ 95 accessibility on automated run",2,New,ScriptOS,ScriptOS\Sprint 16,accessibility; wcag; a11y; sprint-16,8,,Accessibility — WCAG 2.2 AA Audit and Remediation
297,Task,Create Atlas DDL for legal.rights_tags nda_records legal_holds tables and implement full Legal Service replacing Sprint 8 stub,"In packages/db/schema/legal.hcl: (1) legal.rights_tags: id UUID PK, script_version_id UUID FK, rights_type ENUM(option,purchase,underlying_rights,clearance), status ENUM(active,expired,pending,not_applicable), rights_holder TEXT, expiry_date DATE, notes TEXT, created_by UUID, created_at TIMESTAMPTZ. (2) legal.nda_records: id UUID PK, project_id UUID FK, user_id UUID, signed_at TIMESTAMPTZ, document_url TEXT, is_active BOOL DEFAULT true. (3) legal.legal_holds: id UUID PK, resource_type TEXT, resource_id UUID, reason TEXT, held_by UUID, held_at TIMESTAMPTZ, released_at TIMESTAMPTZ. In services/legal/src/grpc/legal.service.ts implement full ValidateScriptPolicy: query rights_tags for script version → if any required rights not active, add violation. Query nda_records for requesting user → if not signed, add violation. Query continuity_assertions_violations for unresolved ERROR severity → add violation. Return { passed: violations.length === 0, violations }. Replaces Sprint 8 stub. NDA gate middleware: gRPC interceptor on ScriptService that calls CheckNDAAccess(userId, projectId) before any script read; returns PERMISSION_DENIED if NDA not signed. Legal hold: middleware on all service delete handlers calls CheckLegalHold(resourceType, resourceId); returns FAILED_PRECONDITION if hold exists. Integration test: create script version with missing rights tag; assert validateScriptPolicy returns violation.",,1,New,ScriptOS,ScriptOS\Sprint 15,legal; ddl; grpc; sprint-15,,8,As a legal team member I can enforce rights tags NDA access gates and legal holds on scripts
