ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
230,Epic,Revision Workflow Watermarking & On-Set Supervisor,"Deliver four capabilities that bridge script authoring and physical production: (1) the Revision Color Workflow — industry-standard 13-colour WGA revision sequence with locked version management, per-recipient watermarked PDF distribution, and scene-level diff views; (2) the Watermark Service — steganographic watermark embedding in PDF (character spacing) and FDX (zero-width characters), callable by the revision-distribution Temporal saga; (3) Call Sheet generation — Temporal saga that assembles call sheet data, generates a PDF, routes for AD approval, and distributes to crew; and (4) the Supervisor Module + PowerSync Offline — Supervisor Service for take logging and continuity assertions, PowerSync cloud sync, and the Tauri 2.x on-set desktop app with SQLite + SQLCipher encryption. At the end of Sprint 9 the Beta milestone countdown begins: 3 production teams must be operational by Sprint 11. Reference: Wiki/15-roadmap.md Sprints 9 and 10, Wiki/06-offline-sync.md, Wiki/11-security-compliance.md.","- Revision color state machine: 13 colours per WGA spec; locked pages reject colour change
- Watermarked PDF round-trip: embed recipient ID → extract from leaked copy → recover correct recipient
- Revision distribution saga: correct watermarked PDF delivered to each recipient via email
- Call sheet PDF generated and distributed to 3 test crew members
- Tauri app runs on macOS; script supervisor logs takes offline for 1 hour; all sync on reconnect
- SQLCipher encryption verified: SQLite DB file unreadable without key
- PowerSync sync works for supervisor and AD roles (different data subsets)
- Supervisor Service deployed to staging with passing integration tests
- Beta milestone target set: 3 production teams to onboard by Sprint 11 end",1,New,ScriptOS,ScriptOS\Sprint 9,revision; watermark; call-sheet; supervisor; tauri; powersync; sprint-9; sprint-10,,,
231,Feature,Revision Color Workflow and Version Distribution Saga,"Implement the WGA-standard 13-colour revision sequence as a state machine in the Script Service. Locked versions are immutable — pages cannot change colour after lock. The revision-distribution Temporal saga generates per-colour PDFs, embeds per-recipient forensic watermarks, and distributes via email. Writers can compare any two locked versions using the scene-level diff endpoint. Reference: Wiki/03-data-model.md §5, Wiki/07-workflow-orchestration.md, Wiki/15-roadmap.md Sprint 9.","- 13-colour state machine enforces valid transitions; locked pages return 400 on colour change attempt
- scriptVersionDiff returns scene-level unified diff between any two version snapshots
- Revision distribution saga completes; each recipient receives correct watermarked PDF
- Version history panel shows all locked versions with colour badge and diff access",1,New,ScriptOS,ScriptOS\Sprint 9,revision; watermark; distribution; sprint-9,,,Revision Workflow Watermarking & On-Set Supervisor
232,Feature,Watermark Service — Steganographic Embedding and Forensic Extraction,"Build the Watermark Service to embed invisible recipient-identifying watermarks in exported PDFs (character spacing steganography) and in FDX exports (zero-width Unicode characters between dialogue). The embedWatermarkPerRecipient gRPC method is called by the revision-distribution saga. The extraction endpoint allows the security team to identify the source of a leak. Reference: Wiki/11-security-compliance.md, ADR-025, Wiki/15-roadmap.md Sprint 9.","- PDF watermark: embed recipient ID → extract from leaked PDF → recover correct recipient ID in extraction test
- FDX watermark: zero-width chars encode recipient ID; extraction recovers ID from FDX string
- embedWatermarkPerRecipient gRPC callable from revision-distribution saga; returns S3 key of watermarked file
- Extraction endpoint: POST /watermark/extract with PDF upload returns { recipientId, confidence }",1,New,ScriptOS,ScriptOS\Sprint 9,watermark; steganography; security; sprint-9,,,Revision Workflow Watermarking & On-Set Supervisor
233,Feature,Call Sheet Saga — Generation Approval and Distribution,"Implement the Call Sheet Temporal saga that assembles call sheet data from the Scheduling, Supervisor, and Script services, generates a print-quality PDF following industry standard layout, routes it to the 1st AD for approval, and distributes to crew assignments on approval. Reference: Wiki/07-workflow-orchestration.md, Wiki/15-roadmap.md Sprint 9.","- Call sheet PDF matches industry standard layout (production name, date, scenes, cast, crew, logistics)
- AD approval step integrated in Temporal saga; call sheet held until approved
- Distribution: email to all crew assignments on approval
- Call sheet viewer renders in web app with print layout",2,New,ScriptOS,ScriptOS\Sprint 9,call-sheet; temporal; distribution; sprint-9,,,Revision Workflow Watermarking & On-Set Supervisor
234,Feature,Supervisor Service and PowerSync Offline Sync,"Build the Supervisor Service (PostgreSQL, gRPC, GraphQL subgraph) for take logging, continuity assertions, and deviation tracking. Configure PowerSync cloud sync with role-based data routing for supervisor and AD roles. Build the Tauri 2.x on-set desktop app with SQLite + WAL + SQLCipher encryption, PowerSync Rust SDK integration, Tauri commands for take logging, sync status indicator, and scene list UI. Reference: Wiki/06-offline-sync.md, ADR-003, ADR-008, Wiki/15-roadmap.md Sprint 10.","- Supervisor Service gRPC: logTake, rateTake, createContinuityAssertion, getPresignedUploadURL all passing integration tests
- NATS events: supervisor.take.circled and supervisor.scene.completed published correctly
- PowerSync sync works for supervisor and AD roles (different data subsets)
- Tauri app runs on macOS; SQLCipher DB file unreadable without key
- Offline test: log 50 takes offline → reconnect → all 50 appear in cloud Postgres within 60s",1,New,ScriptOS,ScriptOS\Sprint 10,supervisor; powersync; tauri; offline; sprint-10,,,Revision Workflow Watermarking & On-Set Supervisor
235,User Story,As a writer I can track coloured revision pages following the WGA standard sequence and compare any two locked versions with a scene-level diff,"Industry-standard colour revisions are required for WGA-covered productions. The 13-colour sequence (White → Blue → Pink → Yellow → Green → Goldenrod → Buff → Salmon → Cherry → Tan → Sage → Lilac → White 2nd) must be enforced as a state machine. Locked page colours cannot be changed. Reference: Wiki/03-data-model.md §5.","- Colour badge (Blue, Pink, Yellow…) visible in script header; changes via dropdown
- Invalid transition (e.g. jumping from White to Pink when Blue is next) returns error: 'Expected next colour: Blue'
- Locked pages reject colour change: 'Page is locked — colour cannot be changed'
- scriptVersionDiff(fromId, toId) returns: added scenes (green), removed scenes (red), modified scenes (amber)
- Version history panel: list of locked versions sorted by lock date; click opens diff view",1,New,ScriptOS,ScriptOS\Sprint 9,revision; writer; diff; sprint-9,8,,Revision Color Workflow and Version Distribution Saga
236,User Story,As a distribution manager I can distribute colour-revised scripts with per-recipient invisible watermarks so leaks can be traced to the source,"Screenplay leaks are a serious problem for productions. Every exported copy must carry an invisible forensic watermark that identifies the specific recipient. Character spacing steganography in PDF and zero-width characters in FDX provide deniable-plausible watermarks that survive printing and scanning. Reference: Wiki/11-security-compliance.md, ADR-025.","- Export modal shows 'Recipient watermark will be embedded' warning before download
- Each exported PDF has a unique invisible watermark per recipient
- Given a leaked PDF: POST /watermark/extract returns { recipientId, confidence > 0.95 }
- Revision distribution saga: correct watermarked file sent to each crew member email address
- Watermark survives: PDF print → photograph → PDF re-scan (steganography robustness test)",1,New,ScriptOS,ScriptOS\Sprint 9,watermark; distribution-manager; security; sprint-9,8,,Watermark Service — Steganographic Embedding and Forensic Extraction
237,User Story,As a script supervisor I can log takes and continuity assertions offline during a full shooting day and sync to cloud when connectivity returns,"The on-set environment is unreliable — sets are in basements, remote locations, and signal-dead zones. The Tauri on-set app must work offline for a full 12–16 hour shooting day with no degradation of functionality. PowerSync provides the offline-first sync layer. SQLCipher protects sensitive production data at rest. Reference: Wiki/06-offline-sync.md, ADR-003.","- Tauri app launches and functions fully with no network connection
- logTake, rateTake, createContinuityAssertion, attachContinuityPhoto all work offline
- SQLCipher: DB file is binary garbage without the derived key (verified via hex dump)
- Sync status indicator: shows pending write count and 'OFFLINE' badge when disconnected
- After reconnect: all offline takes and assertions appear in cloud Postgres within 60s
- Photo uploads: enqueued offline; uploaded to S3 on reconnect; S3 key written back to SQLite",1,New,ScriptOS,ScriptOS\Sprint 10,supervisor; script-supervisor; offline; tauri; sprint-10,13,,Supervisor Service and PowerSync Offline Sync
238,User Story,As a 1st AD I can view continuity assertion conflicts detected when two devices circle different takes for the same scene and resolve them manually,"Concurrent on-set devices are common in large productions. If two script supervisors both circle different takes for the same scene, a conflict is created and must be resolved by the 1st AD before sync completes. Reference: Wiki/06-offline-sync.md conflict detection section.","- Conflict detected when two devices submit circle for same scene with different take numbers
- Conflict visible in a pending conflicts list in both Tauri app and web dashboard
- 1st AD selects the authoritative circle; resolution syncs to all devices
- Resolution creates an audit log entry with actor and timestamp",2,New,ScriptOS,ScriptOS\Sprint 10,supervisor; first-ad; conflict; sprint-10,5,,Supervisor Service and PowerSync Offline Sync
239,Task,Implement revision color state machine with 13-colour WGA sequence and locked-page enforcement in Script Service,"In services/script/src/revision/color-state-machine.ts implement RevisionColorStateMachine. WGA sequence constants: WHITE → BLUE → PINK → YELLOW → GREEN → GOLDENROD → BUFF → SALMON → CHERRY → TAN → SAGE → LILAC → WHITE_2ND. Method transitionColor(currentColor, newColor): RevisionColorResult. Validates: newColor must be the next colour in sequence OR the same (no change). Returns { allowed, nextExpectedColor }. If not allowed: throw InvalidColorTransitionError('Expected next revision colour: [colour]'). Method lockPage(pageId): marks page as color_locked = true in script.ast_nodes. Locked pages reject any updateRevisionColor call with FAILED_PRECONDITION 'Page is locked'. In Script Service GraphQL schema: mutation updateRevisionColor(scriptId, color): Script!; mutation lockRevisionPages(scriptId): Int! (returns count of locked pages). Unit tests: assert all 13 valid transitions; assert invalid transition throws; assert locked page rejects update.",,1,New,ScriptOS,ScriptOS\Sprint 9,revision; state-machine; script-service; sprint-9,,6,As a writer I can track coloured revision pages following the WGA standard sequence and compare any two locked versions
