ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
164,Epic,Breakdown AI & Search,"Deliver three services that transform ScriptOS into an intelligent production platform: (1) the Breakdown Service, which auto-detects production elements (characters, locations, props, wardrobe, VFX, stunts) from the Script AST using NLP within 30 seconds of every checkpoint event; (2) the AI Service, which provides WGA Article 72-compliant dialogue suggestions, format corrections, and consistency checks with full ledger tracking, company consent gating, Anthropic prompt caching, and org-level token quotas; and (3) the Search Service, which indexes all script content in Elasticsearch 8.9+ for sub-500ms hybrid BM25 + vector search with native RRF. This epic concludes at the Alpha milestone (Week 14, Sprint 6 end): 10 external writers invited to use the editor, Series Bible, and AI suggestions. Reference: Wiki/15-roadmap.md Sprint 6, Wiki/05-ai-governance.md, Wiki/08-production-modules.md.","- Breakdown elements auto-detected for 5 test scenes with ≥ 80% F1 vs hand-tagged ground truth
- Breakdown re-triggered within 30s of script.checkpointed NATS event for changed scenes
- AI dialogue_suggestion end-to-end: consent → context assembly → Anthropic API → character guard → ledger write → suggestions displayed
- AI ledger DELETE trigger verified: deletion attempt raises exception at DB level
- Professional org quota of 500K tokens enforced; 429 returned with Retry-After on exhaustion
- Search results returned within 500ms (P95) for a 100-scene test script on staging
- Breakdown Service, AI Service, Search Service all deployed to staging with health checks passing
- Alpha milestone: 10 external writers onboarded with editor + bible + AI access",1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; ai; search; alpha; sprint-6,,,
165,Feature,Breakdown Service — NLP Element Detection and Production Catalog,"Auto-detect production elements from Script AST checkpoint events and expose a version-locked catalog. NLP pipeline identifies characters (matched against Bible stubs), locations (parsed from scene headings), and six other categories (props, wardrobe, VFX, stunts, animals, vehicles) using named entity recognition and keyword matching. Every detection carries a confidence score. The catalog is version-controlled and immutable after the publish-saga acquires the draft lock. Exposes gRPC methods for the Scheduling Service and Temporal publish-saga. Reference: Wiki/08-production-modules.md, Wiki/15-roadmap.md Sprint 6.","- NLP detection runs within 30s of script.checkpointed for all changed scenes
- extractBreakdownFromVersion gRPC callable by Temporal publish-saga; idempotent on same scriptVersionId
- Locked breakdown returns 409 FAILED_PRECONDITION on any mutation attempt
- Breakdown GraphQL subgraph federated; scene { breakdownElements { name category confidence } } resolves",1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; nlp; grpc; sprint-6,,,Breakdown AI & Search
166,Feature,AI Service — WGA-Compliant Dialogue Suggestions and AI Governance,"Build the AI Service with WGA Article 72 compliance at its core: company consent model, per-feature writer opt-in, context assembler using Bible and timeline data with prompt caching, model router (Claude Haiku/Sonnet/Opus by feature tier), Anthropic SDK integration, immutable AI ledger with DB trigger, dialogue_suggestion and format_correction features, and Redis-based org token quota + per-user soft limits. All interactions are logged. format_correction is always-on (Tier 1, no consent). dialogue_suggestion requires company consent + writer opt-in (Tier 2). Reference: Wiki/05-ai-governance.md, ADR-020, Wiki/15-roadmap.md Sprint 6.","- Company consent gate: generative features blocked when ai.company_consents has no active record for org
- dialogue_suggestion end-to-end in < 5s on Professional plan
- Ledger immutability: DB trigger blocks DELETE; entries are permanent
- Prompt cache: second call with same Bible context shows cache_read_input_tokens > 0
- Rate limiting: 429 with Retry-After when org quota exhausted; X-RateLimit-Warning header at 90%",1,New,ScriptOS,ScriptOS\Sprint 6,ai; wga; consent; ledger; anthropic; sprint-6,,,Breakdown AI & Search
167,Feature,Search Service — Elasticsearch Hybrid Indexing and Query,"Configure Elasticsearch 8.9+ script_content index with BM25 text fields and dense_vector field (OpenAI text-embedding-3-large, 3072 dims). Index updated within 60s of every script.checkpointed event via NATS consumer. Hybrid queries combine BM25 and ANN using Elasticsearch native Reciprocal Rank Fusion (RRF). Search GraphQL subgraph federated into Apollo Router. Reference: Wiki/10-search.md, ADR-005, ADR-024, Wiki/15-roadmap.md Sprint 6.","- script_content index created with correct BM25 mappings and dense_vector field
- Scene text reindexed within 60s of checkpoint event
- Hybrid RRF search returns results in < 500ms (P95) for 100-scene script on staging
- Semantic query without exact keywords returns correct scene in top 3 (human eval)
- Search GraphQL subgraph federated; searchScripts query resolves correctly",2,New,ScriptOS,ScriptOS\Sprint 6,search; elasticsearch; embeddings; rrf; sprint-6,,,Breakdown AI & Search
168,User Story,As a producer I can see auto-detected breakdown elements for every scene so I can verify and edit them without manual data entry,"Manual breakdown entry takes 2-4 days for a feature film. Auto-detection from the Script AST should reduce that to hours. The breakdown panel shows elements grouped by category (Cast, Locations, Props, Wardrobe, VFX, Stunts) with confidence badges. Low-confidence detections are highlighted for human review. After a publish-saga lock, elements are frozen. Reference: Wiki/08-production-modules.md.","- Breakdown panel shows auto-detected elements per scene grouped by category
- HIGH badge (≥ 0.9) green; MEDIUM (0.7-0.9) amber; LOW (< 0.7) red
- Elements refresh within 30s after a checkpoint event
- After publish lock: elements show padlock; add/edit/delete controls hidden
- F1 ≥ 80% on 5 test scenes vs hand-tagged ground truth",1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; producer; nlp; sprint-6,8,,Breakdown Service — NLP Element Detection and Production Catalog
169,User Story,As a 1st AD I can manually add edit and remove breakdown elements per scene to correct auto-detections,"NLP is imperfect. A 1st AD must correct missed elements, edit mis-categorised detections, and delete false positives. Manual edits persist through re-detection runs — is_manual = true elements are never overwritten by the NLP pipeline.","- Manual add: creates element with is_manual = true, confidence = 1.0; persists through re-detection
- Edit: saves immediately with optimistic UI update; rollback on gRPC error
- Delete: removes after confirmation; undo snackbar for 5 seconds
- Version-locked elements: add/edit/delete returns 409; UI disables all controls
- Manual elements show pen icon to distinguish from NLP detections",2,New,ScriptOS,ScriptOS\Sprint 6,breakdown; first-ad; manual; sprint-6,5,,Breakdown Service — NLP Element Detection and Production Catalog
170,User Story,As a writer I can request AI dialogue suggestions with WGA-compliant consent and full ledger tracking,"WGA Article 72 is non-negotiable. Company must enable AI features. Writer must opt in per feature. Every request and every writer action is written to the immutable AI ledger with prompt hash and modification delta. Character voice forbidden_words checked before returning suggestions. Reference: Wiki/05-ai-governance.md.","- First use: consent banner shown; toggle stores ai.feature_consents row
- Cmd+Shift+A triggers: consent check → context assembly → Claude Sonnet call → character guard → ledger write → 2-3 suggestions displayed
- Accept: writer_action = 'accepted', modification_delta = '' logged
- Modify: writer_action = 'modified', modification_delta = char diff logged
- Reject: writer_action = 'rejected' logged
- Forbidden word detected: suggestion withheld; warning shown inline
- Ledger entry not deletable: DB trigger raises exception on DELETE attempt",1,New,ScriptOS,ScriptOS\Sprint 6,ai; wga; dialogue; consent; ledger; sprint-6,8,,AI Service — WGA-Compliant Dialogue Suggestions and Governance
171,User Story,As an org admin AI token quota is enforced per organisation and I can view token consumption analytics,"Uncontrolled AI costs are a real risk. Each Professional org has 500K tokens/month enforced via Redis token bucket. Admin dashboard shows real-time consumption, cost estimates, and per-user/per-feature breakdowns. Soft-limit warning at 80% allows proactive management.","- Professional quota: 500K tokens/month; 429 returned with Retry-After when exhausted
- Indie tier: all generative features return 403 with upgrade prompt
- Admin dashboard: total tokens consumed, estimated cost (USD), per-user and per-feature tables
- 80% soft limit: warning notification sent to org admin via in-app + email
- Quota resets on the 1st of each month; reset logged in audit trail
- Per-user soft limit (default 50K/month): X-RateLimit-Warning header in response at 90%",2,New,ScriptOS,ScriptOS\Sprint 6,ai; rate-limiting; admin; quota; sprint-6,5,,AI Service — WGA-Compliant Dialogue Suggestions and Governance
172,User Story,As a writer I can search all script content and receive relevance-ranked results in under 500ms using hybrid keyword and semantic search,"Writers navigate large multi-episode series by intent ('scene where Walter first sees the RV') not just keywords. Hybrid BM25 + semantic search gives far better recall. Cmd+K palette keeps search instantly accessible. Reference: Wiki/10-search.md, ADR-005.","- Cmd+K opens search palette from anywhere in the web app
- Results returned in < 500ms (P95) for 100-scene script on staging
- Each result: scene number, heading, matched excerpt with terms highlighted
- Click navigates editor to that scene scrolled into view
- Semantic query ('tense confrontation in industrial setting') returns relevant scene in top 3
- Index updated within 60s of any checkpoint; new/edited scenes immediately searchable",2,New,ScriptOS,ScriptOS\Sprint 6,search; writer; hybrid; sprint-6,5,,Search Service — Elasticsearch Hybrid Indexing and Query
173,Task,Create Atlas DDL schema for breakdown.elements breakdown.categories breakdown.versions and breakdown.element_history tables,"In packages/db/schema/breakdown.hcl: (1) breakdown.categories: id UUID PK, script_version_id UUID FK → script.script_versions, scene_id UUID FK → script.ast_nodes, category ENUM(CAST,LOCATION,PROP,WARDROBE,VFX,STUNT,SPECIAL_EQUIPMENT,ANIMAL,VEHICLE,MUSIC,SOUND), created_at TIMESTAMPTZ. (2) breakdown.elements: id UUID PK, category_id UUID FK, name TEXT NOT NULL, confidence FLOAT4 DEFAULT 1.0, is_manual BOOL DEFAULT false, is_locked BOOL DEFAULT false, source_text TEXT, notes TEXT, created_by UUID, created_at TIMESTAMPTZ, updated_at TIMESTAMPTZ. (3) breakdown.versions: id UUID PK, script_version_id UUID UNIQUE FK, locked_at TIMESTAMPTZ, locked_by UUID. (4) breakdown.element_history: id UUID PK, element_id UUID FK, action ENUM(CREATED,UPDATED,DELETED), actor UUID, diff JSONB, created_at TIMESTAMPTZ. Indexes: (script_version_id, scene_id, category) on elements; GIN on notes. Run atlas schema apply on staging; verify with psql \\d breakdown.elements.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; ddl; atlas; sprint-6,,8,As a producer I can see auto-detected breakdown elements for every scene so I can verify and edit them without manual data entry
174,Task,Implement NLP element detection pipeline for all production element categories using entity recognition and keyword lists,"In services/breakdown/src/detection/detector.ts implement BreakdownDetector class. Detection pipeline per scene AST snapshot: (1) Characters: query BibleService.listCharacterNames(projectId) → exact-match against character_name nodes + ALL-CAPS names in action text; create stub for unknowns. (2) Locations: parse scene_heading via regex /^(INT\.|EXT\.|INT\/EXT\.) (.+?) [-—] (.+)$/; extract location name. (3) Props: spaCy en_core_web_sm PRODUCT entities + keyword list (gun, knife, briefcase, phone, bag, car key, etc.). (4) Wardrobe: keyword NER (suit, dress, uniform, badge, tie, coat, mask, etc.). (5) VFX: keyword list (explosion, fire, CGI, digital, miniature, green screen, wire work, etc.). (6) Stunts: keyword list (fight, falls, crash, stunt, dive, chase, physical altercation, etc.). Confidence scoring: Bible exact match = 0.95, keyword match = 0.80, fuzzy match = 0.70. Each detection → { name, category, confidence, source_text }. Unit tests with 5 hand-tagged scenes; assert F1 ≥ 0.80 per category.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; nlp; detection; sprint-6,,8,As a producer I can see auto-detected breakdown elements for every scene so I can verify and edit them without manual data entry
175,Task,Build NATS JetStream consumer that subscribes to script.checkpointed and triggers NLP re-detection for changed scenes,"In services/breakdown/src/consumers/checkpointed.consumer.ts: NATS JetStream push consumer on script.checkpointed (durable: breakdown-detector, deliver: new). On message: (1) Parse ScriptCheckpointedPayload { scriptId, versionId, changedSceneIds }. (2) For each changedSceneId: call ScriptService.getSceneSnapshot gRPC. (3) Run BreakdownDetector.detectScene(snapshot). (4) Upsert: skip is_manual = true elements; replace existing auto-detections for this scene. (5) Publish breakdown.updated { scriptId, sceneIds }. (6) Ack message. Error handling: nack with 5s requeue delay on failure; max 3 retries; publish to breakdown.detection.dlq dead-letter queue after exhaustion. SLA: < 30s for a scene with 500 words of action. Integration test: publish mock checkpoint event; assert elements in DB within 35s.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; nats; consumer; sprint-6,,8,As a producer I can see auto-detected breakdown elements for every scene so I can verify and edit them without manual data entry
176,Task,Implement extractBreakdownFromVersion gRPC method callable by Temporal publish-saga activity,"In services/breakdown/src/grpc/breakdown.service.ts implement ExtractBreakdownFromVersion RPC. Input: { scriptVersionId: UUID, callerWorkflowId: string }. Output: { breakdownVersionId: UUID, elementCount: number, warnings: string[] }. Logic: (1) Check breakdown.versions for existing record; if exists return it (idempotent). (2) Run full detection across all scenes in the script version. (3) Insert detected elements with is_locked = false. (4) Insert breakdown.versions row with scriptVersionId and callerWorkflowId. (5) Return result. Idempotency: second call with same scriptVersionId returns existing ID without re-running detection. Integration test: call twice with same scriptVersionId; assert second call returns same breakdownVersionId and no duplicate elements.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; grpc; temporal; sprint-6,,6,As a producer I can see auto-detected breakdown elements for every scene so I can verify and edit them without manual data entry
177,Task,Build breakdown catalog CRUD gRPC methods with manual override flag and version-lock enforcement,"In services/breakdown/src/grpc/breakdown.service.ts implement: (1) CreateBreakdownElement: sets is_manual = true, confidence = 1.0; writes element_history CREATED. (2) UpdateBreakdownElement: returns FAILED_PRECONDITION if is_locked = true; writes element_history UPDATED with JSONB diff. (3) DeleteBreakdownElement: returns FAILED_PRECONDITION if version locked; soft-delete sets deleted_at; writes element_history DELETED. (4) LockBreakdownVersion: sets is_locked = true on all elements in version; sets breakdown.versions.locked_at; called by publish-saga LockBreakdownActivity. All methods: validate PRODUCER or ADMIN role from X-Roles gRPC metadata. Unit tests for each method covering success, not-found, and locked states.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; grpc; crud; sprint-6,,6,As a 1st AD I can manually add edit and remove breakdown elements per scene to correct auto-detections
178,Task,Build Breakdown Service GraphQL subgraph with BreakdownElement BreakdownCategory types and Scene extension,"In services/breakdown/src/graphql/schema.graphql: type BreakdownElement { id, sceneId, category: BreakdownCategory, name, confidence, isManual, isLocked, notes, createdAt }. enum BreakdownCategory { CAST LOCATION PROP WARDROBE VFX STUNT SPECIAL_EQUIPMENT ANIMAL VEHICLE MUSIC SOUND }. Extend Scene type: extend type Scene @key(fields: 'id') { breakdownElements(categories: [BreakdownCategory]): [BreakdownElement!]! }. Mutations: createBreakdownElement, updateBreakdownElement, deleteBreakdownElement. Auth: mutations require PRODUCER or ADMIN role. Register subgraph in apps/gateway/supergraph.yaml. Integration test: scene { breakdownElements { name category } } query returns correct elements.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; graphql; federation; sprint-6,,6,As a 1st AD I can manually add edit and remove breakdown elements per scene to correct auto-detections
179,Task,Write packages/proto/breakdown.proto with complete BreakdownService RPC definitions and run buf generate,"In packages/proto/breakdown.proto define BreakdownService: ExtractBreakdownFromVersion, CreateBreakdownElement, UpdateBreakdownElement, DeleteBreakdownElement, LockBreakdownVersion, GetBreakdownForScene, ListBreakdownElements. Message types: BreakdownElement (id, scene_id, category BreakdownCategoryEnum, name, confidence, is_manual, is_locked, notes), ExtractBreakdownRequest (script_version_id, caller_workflow_id), ExtractBreakdownResponse (breakdown_version_id, element_count, warnings). Run buf generate; assert TypeScript stubs in packages/proto/generated/breakdown/ compile with zero errors. Add import in services/breakdown/src/grpc/breakdown.service.ts.",,1,New,ScriptOS,ScriptOS\Sprint 6,breakdown; proto; buf; sprint-6,,4,As a 1st AD I can manually add edit and remove breakdown elements per scene to correct auto-detections
180,Task,Create Atlas DDL for ai.company_consents ai.feature_consents ai.ledger_entries tables with immutability trigger,"In packages/db/schema/ai.hcl: (1) ai.company_consents: id UUID PK, org_id UUID UNIQUE, enabled_at TIMESTAMPTZ, enabled_by UUID, disabled_at TIMESTAMPTZ. (2) ai.feature_consents: id UUID PK, user_id UUID, feature_type ENUM(dialogue_suggestion,consistency_check,coverage_analysis,structure_analysis), enabled_at TIMESTAMPTZ, disabled_at TIMESTAMPTZ, UNIQUE(user_id,feature_type). (3) ai.ledger_entries: id UUID PK, org_id UUID, user_id UUID, feature_type TEXT, model_id TEXT, prompt_hash TEXT, context_refs JSONB, ai_output TEXT, writer_action ENUM(accepted,rejected,modified,pending), modification_delta TEXT, cost_usd NUMERIC(10,6), tokens_input INT, tokens_output INT, tokens_cache_read INT, created_at TIMESTAMPTZ DEFAULT NOW(). CREATE TRIGGER prevent_ledger_delete BEFORE DELETE ON ai.ledger_entries FOR EACH ROW EXECUTE FUNCTION raise_exception('AI ledger entries are immutable — WGA compliance'). Integration test: INSERT ledger row; attempt DELETE; assert exception message contains 'WGA compliance'; assert row still exists.",,1,New,ScriptOS,ScriptOS\Sprint 6,ai; ddl; atlas; ledger; sprint-6,,8,As a writer I can request AI dialogue suggestions with WGA-compliant consent and full ledger tracking
181,Task,Build AI context assembler that constructs a cacheable Bible prefix and a fresh per-request suffix for Anthropic prompt caching,"In services/ai/src/context/assembler.ts implement assembleContext({ projectId, scriptId, sceneId, characterNames, featureType }): Promise<{ cacheablePrefix, freshSuffix }>. Cacheable prefix (Redis-cached per checkpointHash, TTL 5 min): (1) Project title, genre, logline. (2) Per character: BibleService.getCharacterFacts + getVoiceProfile → format as CHARACTER block with facts, vocabulary level, forbidden words, speech patterns. (3) World rules: BibleService.getWorldRules → bullet list. (4) Reference scenes: getVoiceProfiles → referenceSceneIds → ScriptService.getSceneSnapshot → append up to 3 example dialogue exchanges per character. Fresh suffix (per request): preceding 3 scenes + current scene AST + feature-specific instruction. Redis key: ai:context:prefix:{scriptId}:{checkpointHash}. Unit test: assert cacheablePrefix identical for two calls with same checkpointHash; assert freshSuffix differs for different sceneIds.",,1,New,ScriptOS,ScriptOS\Sprint 6,ai; context; caching; sprint-6,,8,As a writer I can request AI dialogue suggestions with WGA-compliant consent and full ledger tracking
182,Task,Implement AI model router selecting Claude Haiku Sonnet or Opus by feature tier and org plan,"In services/ai/src/routing/model-router.ts implement selectModel(featureType, orgPlan): AnthropicModel. Tier 1 (format_correction, consistency_check) → claude-haiku-4-5-20251001 on all plans. Tier 2 (dialogue_suggestion, structure_analysis) → Professional: claude-sonnet-4-6; Studio: claude-sonnet-4-6. Tier 3 (coverage_analysis) → Studio: claude-opus-4-6; Professional: claude-sonnet-4-6. Indie: Tier 2/3 features return FeatureNotAvailableError with upgrade message. Implement FeatureRegistry map: FeatureType → { tier, requiresConsent, minPlan }. Unit tests: Haiku selected for format_correction on all plans; Sonnet for dialogue_suggestion on Professional; FeatureNotAvailableError for Indie on dialogue_suggestion.",,1,New,ScriptOS,ScriptOS\Sprint 6,ai; routing; model-router; sprint-6,,4,As a writer I can request AI dialogue suggestions with WGA-compliant consent and full ledger tracking
183,Task,Integrate Anthropic SDK with prompt caching headers and verify cache hit metrics in usage response object,"In services/ai/src/clients/anthropic.client.ts implement AnthropicClient wrapping @anthropic-ai/sdk. callWithCaching({ model, cacheablePrefix, freshSuffix, maxTokens }): Promise<{ content, usage, cost_usd }>. Build messages: system message with cacheablePrefix wrapped in { type: 'text', cache_control: { type: 'ephemeral' } }; user message with freshSuffix as plain text. Call anthropic.messages.create. Extract usage.cache_read_input_tokens and usage.cache_creation_input_tokens. Calculate cost_usd using per-model pricing constants. Add ANTHROPIC_API_KEY loaded from GCP Secret Manager. Integration test (manual suite, skipped in CI): call dialogue_suggestion twice with identical cacheablePrefix; assert second call has cache_read_input_tokens > 0 and lower cost_usd.",,1,New,ScriptOS,ScriptOS\Sprint 6,ai; anthropic; sdk; caching; sprint-6,,6,As a writer I can request AI dialogue suggestions with WGA-compliant consent and full ledger tracking
