ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
199,Epic,Production Planning — Scheduling Budget & Publish Saga,"Build the three production planning services that transform a completed script breakdown into an actionable shooting schedule, budget, and a locked production version: (1) the Scheduling Service, which runs Google OR-Tools to optimise scene ordering across shoot days and calculates day-out-of-days tables; (2) the Budget Service, which manages above-the-line and below-the-line budget lines and exports to EP Budgeting format; and (3) the full Publish-to-Production Saga running in Temporal Cloud, which orchestrates all seven workflow steps (lock → validate → breakdown → schedule delta → budget delta → approval routing → operational lock) with compensation, escalation timers, and approval signals. The Notification Service (email via SendGrid, in-app WebSocket push) is also delivered in this epic to support the approval workflow. Reference: Wiki/15-roadmap.md Sprints 7 and 8, Wiki/07-workflow-orchestration.md, Wiki/08-production-modules.md.","- OR-Tools solver produces valid schedule for a 30-scene test project in < 5s
- Stripboard drag-and-drop works; manual overrides preserved across solver re-runs
- DOOD table calculated correctly for all characters in test project
- Full publish saga runs end-to-end: lock → validate → breakdown → schedule → budget → approval → lock
- Approval email sent via SendGrid; in-app notification received within 2s
- Compensation fires correctly when approval rejected (budget → schedule → breakdown → unlock)
- 48h auto-approve fires in time-skipping integration test
- Budget export produces valid XLSX matching EP Budgeting account code structure
- Scheduling Service, Budget Service, Notification Service, Temporal workers all deployed to staging",1,New,ScriptOS,ScriptOS\Sprint 7,scheduling; budget; publish-saga; temporal; sprint-7; sprint-8,,,
200,Feature,Scheduling Service — Stripboard OR-Tools Solver and Day-Out-of-Days,"Build the Scheduling Service to generate and manage the shooting schedule. Persist the stripboard in PostgreSQL (shoot_days, scene_assignments). Run Google OR-Tools constraint solver for optimal scene ordering (location grouping, company moves, cast conflicts). Calculate day-out-of-days (DOOD) matrix per character. Expose gRPC methods (computeVersionDelta, rollbackDelta) for the publish-saga Temporal activity. NATS consumer re-runs solver when breakdown changes. Reference: Wiki/08-production-modules.md, ADR-021, Wiki/15-roadmap.md Sprint 7.","- OR-Tools solver runs in < 5s for 30 scenes, 5 locations, 8 characters
- Manual overrides (1st AD drag-and-drop) are not overwritten by subsequent solver runs
- computeVersionDelta and rollbackDelta gRPC methods callable from Temporal publish-saga
- DOOD table generated with correct W/H/T/F/L designations for all characters",1,New,ScriptOS,ScriptOS\Sprint 7,scheduling; or-tools; dood; sprint-7,,,Production Planning — Scheduling Budget & Publish Saga
201,Feature,Budget Service — Budget Lines Account Codes and EP Budgeting Export,"Build the Budget Service to manage above-the-line, below-the-line, and post-production budget lines. Each line has an account code following the AICP/EP Budgeting classification. Provide gRPC methods (computeVersionDelta, rollbackDelta) for the publish-saga. Export to EP Budgeting-compatible XLSX. Reference: Wiki/08-production-modules.md, Wiki/15-roadmap.md Sprint 8.","- Budget lines CRUD via gRPC and GraphQL
- computeVersionDelta and rollbackDelta callable from Temporal publish-saga
- XLSX export validates against EP Budgeting account code structure
- Budget GraphQL subgraph federated into Apollo Router",1,New,ScriptOS,ScriptOS\Sprint 8,budget; export; xlsx; sprint-8,,,Production Planning — Scheduling Budget & Publish Saga
202,Feature,Publish-to-Production Saga — Temporal Workflow with Approval Routing and Compensation,"Implement the full Publish-to-Production saga in Temporal Cloud. Seven steps: (1) lock draft, (2) validate policy (Legal stub), (3) extract breakdown, (4) compute schedule delta, (5) compute budget delta, (6) route approvals (parallel independent depts, sequential dependent), (7) operational lock. Compensation stack unwinds on rejection. 24h escalation timer, 48h auto-approve. Approval signals from approvers. Reference: Wiki/07-workflow-orchestration.md, Wiki/15-roadmap.md Sprint 8.","- Publish saga runs end-to-end on happy path for a test script
- Approval request email sent; in-app notification received within 2s
- Compensation: rejection triggers correct unwind order (budget → schedule → breakdown → unlock)
- 24h escalation and 48h auto-approve fire correctly in time-skipping integration test
- approval_requests table updated on each approval decision",1,New,ScriptOS,ScriptOS\Sprint 8,publish-saga; temporal; approval; compensation; sprint-8,,,Production Planning — Scheduling Budget & Publish Saga
203,Feature,Notification Service — Email and In-App WebSocket Push,"Deliver the Notification Service to support the publish-saga approval workflow and future notifications. Email delivery via SendGrid (approval request, escalation, auto-approve). In-app WebSocket push delivery via existing WebSocket Gateway (approval received, saga status update). Notification GraphQL subscription for real-time updates. Reference: Wiki/15-roadmap.md Sprint 8.","- Approval request email reaches recipient within 30s of saga step
- In-app WebSocket notification delivered within 2s
- Notification GraphQL subscription fires on new notification
- Notification Service deployed to staging with health check passing",2,New,ScriptOS,ScriptOS\Sprint 8,notification; email; websocket; sprint-8,,,Production Planning — Scheduling Budget & Publish Saga
204,User Story,As a 1st AD I can generate an optimised shooting schedule using OR-Tools and override it by drag-and-drop without the solver overwriting my changes,"OR-Tools reduces the time to generate a first-pass schedule from days to seconds. The 1st AD must always retain final authority — manual overrides are sacred and must never be overwritten by subsequent solver runs. The DOOD table is critical for SAG-AFTRA compliance and must calculate correctly. Reference: Wiki/08-production-modules.md.","- 'Re-solve' button runs OR-Tools; proposed schedule shown in preview before confirming
- Solver completes in < 5s for 30 scenes, 5 locations, 8 characters on staging
- Scenes drag between shoot days; order preserved on reload
- Manual assignment (is_manual_override = true) persists across solver re-runs
- DOOD table: W/H/T/F/L designations correct for all characters based on assignment
- Schedule delta computed between two version snapshots; rollback restores prior state",1,New,ScriptOS,ScriptOS\Sprint 7,scheduling; first-ad; or-tools; dood; sprint-7,8,,Scheduling Service — Stripboard OR-Tools Solver and Day-Out-of-Days
205,User Story,As a producer I can create and edit budget lines above and below the line and export to EP Budgeting format,"Budget management in pre-production is critical for financing and studio approval. Each line maps to an account code. EP Budgeting is the industry-standard budget software — XLSX export must match its template exactly. Reference: Wiki/08-production-modules.md.","- Budget lines created with account code, category (ATL/BTL/POST), amount, and notes
- Totals update in real-time as lines are edited
- computeVersionDelta: delta between two budget versions computable via gRPC
- XLSX export: correct EP Budgeting column headers; account codes match AICP classifications
- Budget GraphQL subgraph: budget { totalAboveTheLine totalBelowTheLine } resolves",1,New,ScriptOS,ScriptOS\Sprint 8,budget; producer; export; sprint-8,5,,Budget Service — Budget Lines Account Codes and EP Budgeting Export
206,User Story,As a writer or producer I can publish a script to production which triggers the full seven-step Temporal approval saga,"The publish workflow is the system's most critical operation — it locks the script and routes it through legal, planning, and approval gates before the production team can act on it. Temporal sagas provide durability: the workflow survives process restarts, and compensation ensures clean rollback on rejection. Reference: Wiki/07-workflow-orchestration.md.","- 'Publish to Production' button triggers the Temporal workflow; saga ID stored in DB
- Saga status updates in real-time via WebSocket push: Submitting → Validating → In Planning → Awaiting Approval
- Each saga step creates an approval_requests row when applicable
- On rejection: compensation activity sequence fires in correct reverse order; script unlocked
- On 48h timeout with no decision: auto-approve fires; next step proceeds
- On 24h escalation: escalation notification sent to manager-role users",1,New,ScriptOS,ScriptOS\Sprint 8,publish-saga; temporal; writer; producer; sprint-8,13,,Publish-to-Production Saga — Temporal Workflow with Approval Routing and Compensation
207,User Story,As an approver I can receive review and act on approval requests with script version diff and schedule and budget deltas,"Approvers (producers, department heads, legal, studio execs) need to see exactly what changed — a script diff, a schedule delta, and a budget impact — before making an approval decision. Time-sensitive decisions must have clear escalation paths. Reference: Wiki/07-workflow-orchestration.md.","- Approval inbox shows pending requests for current user with deadline countdown
- Request detail page shows: script version diff (changed scenes), schedule delta (added/removed shoot days), budget delta (net change in ATL/BTL lines)
- Approve button sends signal to Temporal saga; status updated immediately
- Reject button with required comment sends rejection signal; compensation begins
- Approved/rejected requests archived with timestamp and actor",1,New,ScriptOS,ScriptOS\Sprint 8,approval; approver; saga; sprint-8,8,,Publish-to-Production Saga — Temporal Workflow with Approval Routing and Compensation
208,User Story,As a crew member I receive email and in-app notifications for approval requests and saga status updates,"The approval workflow is time-critical. Approvers must be reached via email (for async mobile notification) and via in-app WebSocket push (for users actively working in ScriptOS). Notification delivery failure must not block the saga — notifications are best-effort with retry.","- Email delivered within 30s of saga approval step activation (via SendGrid)
- In-app notification appears within 2s for logged-in users (WebSocket push)
- Notification includes: script title, step name, deadline, and deep link to approval detail
- Notification badge increments in nav header; clicking opens notification drawer
- GraphQL subscription notifications fires new notification payload in real-time",2,New,ScriptOS,ScriptOS\Sprint 8,notification; crew; email; websocket; sprint-8,5,,Notification Service — Email and In-App WebSocket Push
