ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
69,Epic,Script Service & Collaborative Editor,"Build the Script Service (AST persistence, version snapshots, project/script lifecycle) and the real-time collaborative screenplay editor powered by Loro CRDT. This epic is the first to deliver user-visible value: writers can create scripts, edit them in professional Final Draft-quality formatting, and collaborate in real-time with convergent CRDT sync. Sprint 2 delivers the Script Service and project/script navigation UI. Sprint 3 delivers the CRDT Collaboration Service and the TipTap-based screenplay editor with the Loro ProseMirror binding. The Loro POC gate at Sprint 3 Week 1 is the highest-risk decision point in the roadmap — if Loro fails two or more criteria the team falls back to the Yjs strategy documented in Wiki/04-crdt-collaboration.md. The dogfood milestone (Week 8) is achieved when the engineering team writes real scripts in ScriptOS daily. Reference: Wiki/15-roadmap.md Sprints 2 and 3, Wiki/03-data-model.md, Wiki/04-crdt-collaboration.md.","- Writers can create projects, add scripts, and navigate the script library in the web app
- Script AST schema (19 node types) persisted in PostgreSQL via Atlas migrations with all indexes and constraints
- Script Service gRPC methods (upsertASTNodes, getSceneSnapshot, createVersion, lockDraft, unlockDraft) all passing integration tests
- script.checkpointed NATS JetStream event published after every checkpoint; downstream consumers notified
- CRDT POC gate: Loro passes all 5 criteria documented in Wiki/04; go/no-go decision recorded in wiki before implementation proceeds
- Two writers co-editing the same script see converged content within 200ms under normal network conditions
- Scene move, split, and merge operations produce consistent results across all connected clients
- Checkpoint cycle writes ast_nodes rows readable via getSceneSnapshot gRPC within 5s of checkpoint trigger
- Dogfood milestone (Week 8): engineering team writes scripts in ScriptOS daily
- All Docker images built and deployed to staging; all Kubernetes health checks passing",1,New,ScriptOS,ScriptOS\Sprint 2,script-service; collaboration; crdt; editor; sprint-2; sprint-3,,,
70,Feature,Script Service Core,"The Script Service is the authoritative data store for all screenplay content in ScriptOS. It owns the script.* PostgreSQL schema — projects, scripts, ast_nodes, and script_versions tables — managed via Atlas declarative migrations. It exposes a GraphQL subgraph for client queries and mutations, and a gRPC API for inter-service calls (used by the Collaboration Service for checkpoints and by the Temporal publish-saga for locking). It publishes the script.checkpointed NATS domain event that triggers downstream re-processing (Breakdown, Search). This is the first Tier 1 service deployed after Auth and every subsequent service depends on it. Reference: Wiki/15-roadmap.md Sprint 2, Wiki/03-data-model.md PostgreSQL DDL, Wiki/16-system-design.md Script Service.","- createProject and projects queries functional via Apollo Router
- createScript and script(id) query working end-to-end
- upsertASTNodes gRPC batch insert/update succeeds for up to 500 nodes in a single call and completes in under 500ms
- getSceneSnapshot gRPC returns heading, element counts, and page estimate for a scene
- createVersion stores CRDT binary snapshot in script_versions; updates scripts.current_version_id
- lockDraft and unlockDraft gRPC methods guard the publish saga lifecycle with transactional lock checks
- script.checkpointed NATS JetStream event published with scriptId, orgId, changedSceneIds, versionId, timestamp
- Script Service Docker image deployed to staging; /health returns 200
- Atlas migration for script.* schema applied cleanly to staging Postgres",1,New,ScriptOS,ScriptOS\Sprint 2,script-service; backend; postgres; graphql; grpc; sprint-2,,,Script Service & Collaborative Editor
71,User Story,As a writer I can create script projects and episodes and browse my script library from the web app,"Writers need to organise their work into projects (a feature film or a TV series) and scripts within a project (individual episodes). The Script Service must provide CRUD operations that back the project/script navigation UI. Projects are scoped to an organisation; all mutations must enforce org isolation via the X-Org-ID header injected by Apollo Router. Archived projects must not appear in the default list. The GraphQL subgraph must be federated into Apollo Router so the frontend can query via the unified gateway. Reference: Wiki/15-roadmap.md Sprint 2 backend tasks — project CRUD, script CRUD, GraphQL subgraph.","- createProject(title: String!, scriptType: ProjectType!) mutation creates a row in script.projects; returns { id title scriptType createdAt }
- projects(orgId: ID!, includeArchived: Boolean) query returns paginated list (first/after cursor) sorted by updatedAt desc; archived projects excluded unless includeArchived: true
- archiveProject(id: ID!) sets archived_at timestamp; project no longer appears in default list
- createScript(projectId: ID!, title: String!, scriptType: ScriptType!) creates row in script.scripts; returns { id title scriptType status }
- scripts(projectId: ID!) query returns all scripts in a project with { id title status updatedAt }
- script(id: ID!) query returns full script metadata including status, currentVersionId, and scene count
- All mutations enforce X-Org-ID header; cross-org data access returns 403
- Script GraphQL subgraph schema registered and supergraph recomposed successfully",1,New,ScriptOS,ScriptOS\Sprint 2,script-service; graphql; project-management; sprint-2,8,,Script Service Core
72,Task,Create Atlas schema for script.* PostgreSQL tables with all indexes and constraints,"Define the declarative Atlas schema for the script service PostgreSQL tables in packages/db/schema/script.hcl. Tables to create: (1) script.projects — id uuid default gen_random_uuid() PK, org_id uuid NOT NULL, title text NOT NULL, script_type text NOT NULL CHECK (IN 'feature_film','tv_pilot','tv_episode','short','web_series'), status text NOT NULL DEFAULT 'active', archived_at timestamptz, created_at timestamptz DEFAULT now(), updated_at timestamptz DEFAULT now(). (2) script.scripts — id uuid PK, project_id uuid NOT NULL FK→script.projects ON DELETE CASCADE, title text NOT NULL, script_type text, status text NOT NULL DEFAULT 'draft' CHECK (IN 'draft','locked','archived'), saga_run_id text, current_version_id uuid, created_by uuid NOT NULL, created_at, updated_at. (3) script.ast_nodes — id uuid PK, script_id uuid NOT NULL FK→script.scripts, parent_id uuid, node_type text NOT NULL, position integer, metadata jsonb DEFAULT '{}', revision_color text, created_at, updated_at. (4) script.script_versions — id uuid PK, script_id uuid NOT NULL FK, version_label text, crdt_snapshot bytea NOT NULL, created_by uuid, created_at DEFAULT now(). Indexes: idx_projects_org on (org_id, archived_at), idx_scripts_project on (project_id), idx_ast_nodes_script on (script_id, parent_id), idx_ast_nodes_type on (script_id, node_type). Run atlas schema apply and confirm all tables and indexes exist in staging Postgres.",,1,New,ScriptOS,ScriptOS\Sprint 2,atlas; postgres; schema; sprint-2,,8,As a writer I can create script projects and episodes and browse my script library from the web app
73,Task,Implement project CRUD gRPC methods and GraphQL mutations in the Script Service,"Implement project-level operations in services/script/src/handlers/project.handler.ts. gRPC: CreateProject(CreateProjectRequest{orgId, title, scriptType, createdBy}) returns CreateProjectResponse{id}; ListProjects(ListProjectsRequest{orgId, includeArchived, pageToken, pageSize}) returns ListProjectsResponse{projects[], nextPageToken}; ArchiveProject(ArchiveProjectRequest{id, orgId}) — sets archived_at = now(). GraphQL resolvers in services/script/src/graphql/project.resolver.ts: createProject mutation calls CreateProject gRPC; projects query calls ListProjects with cursor pagination; archiveProject mutation. Use raw pg with typed queries — no ORM (for predictable query plans). Each mutating operation writes an audit entry: INSERT INTO audit.log (actor_id, org_id, action, resource_type, resource_id, timestamp). Integration test: create org → create project → listProjects asserts length 1 → archiveProject → listProjects asserts length 0 → listProjects(includeArchived: true) asserts length 1.",,1,New,ScriptOS,ScriptOS\Sprint 2,script-service; grpc; graphql; project; sprint-2,,8,As a writer I can create script projects and episodes and browse my script library from the web app
74,Task,Implement script CRUD gRPC methods and GraphQL mutations in the Script Service,"Implement script-level operations in services/script/src/handlers/script.handler.ts. gRPC: CreateScript(CreateScriptRequest{projectId, title, scriptType, createdBy}) returns CreateScriptResponse{id}; GetScript(GetScriptRequest{id}) returns ScriptResponse{id, projectId, title, status, currentVersionId, sceneCount, createdAt, updatedAt}; ListScripts(ListScriptsRequest{projectId}) returns ListScriptsResponse{scripts[]}; UpdateScript(UpdateScriptRequest{id, title?, status?}) returns ScriptResponse. sceneCount computed as SELECT COUNT(*) FROM ast_nodes WHERE script_id = id AND node_type = 'scene'. GraphQL resolvers: createScript mutation → gRPC; script(id) query → GetScript; scripts(projectId) query → ListScripts. Validate projectId belongs to the caller's org before creating script. Integration test: createProject → createScript → scripts(projectId) returns 1 result → script(id) returns correct metadata including sceneCount = 0.",,1,New,ScriptOS,ScriptOS\Sprint 2,script-service; grpc; graphql; scripts; sprint-2,,8,As a writer I can create script projects and episodes and browse my script library from the web app
75,Task,Add Script Service GraphQL subgraph to Apollo Router supergraph with Federation v2 directives,"Register the Script Service GraphQL subgraph in Apollo Federation v2. (1) In services/script/src/graphql/schema.graphql add @key directives: type Project @key(fields: id) and type Script @key(fields: id). Add User reference resolver: extend type User @key(fields: id) { id: ID! @external; projects: [Project!]! }. (2) Add Script Service to apps/gateway/supergraph.yaml: name: script, routing_url: http://script-service:4002/graphql. (3) Run rover supergraph compose to regenerate the supergraph schema file. (4) Update Apollo Router Kubernetes ConfigMap with the new supergraph schema; trigger rolling restart. (5) Integration test via Apollo Router: query { script(id: testId) { id title status } } returns correct data. (6) Verify Federation entity resolution: query User.projects via the federated gateway returns the user's project list. Document the subgraph boundary in Wiki/16-system-design.md.",,1,New,ScriptOS,ScriptOS\Sprint 2,graphql; federation; apollo-router; sprint-2,,4,As a writer I can create script projects and episodes and browse my script library from the web app
76,User Story,As a service consumer the Script Service provides gRPC APIs for AST node management version snapshots and draft lifecycle control,"The Collaboration Service writes checkpointed AST state to the Script Service via gRPC. The Temporal publish-saga locks and unlocks script drafts via gRPC. The Script Service must be a reliable gRPC server with well-typed proto definitions, proper error codes, and idempotent operations. The upsertASTNodes method is the critical path for CRDT checkpointing — it must handle batches of up to 500 nodes and complete in under 500ms. The lockDraft method must use a pessimistic row-level lock to prevent race conditions with concurrent saga runs. Reference: Wiki/03-data-model.md Script AST Node Types, Wiki/07-workflow-orchestration.md Publish Saga, packages/proto/script.proto.","- upsertASTNodes(scriptId, nodes[]) batch upserts up to 500 ASTNode rows using INSERT ... ON CONFLICT (id) DO UPDATE; completes in under 500ms for a 100-node batch in staging
- getSceneSnapshot(sceneId) returns { sceneId, headingText, sceneNumber, elementCounts: {action, dialogue, character}, estimatedPageCount, status }
- createVersion(scriptId, snapshotBytes, versionLabel, createdBy) inserts into script_versions; updates scripts.current_version_id; returns versionId
- lockDraft(scriptId, sagaRunId) sets status=locked atomically via SELECT FOR UPDATE; returns ALREADY_EXISTS if locked by a different sagaRunId
- unlockDraft(scriptId, sagaRunId) verifies sagaRunId match; sets status=draft; clears saga_run_id
- All gRPC methods return standard gRPC status codes: NOT_FOUND, PERMISSION_DENIED, ALREADY_EXISTS, INVALID_ARGUMENT as appropriate
- ScriptService proto in packages/proto/script.proto; buf generate produces TypeScript stubs with zero compile errors",1,New,ScriptOS,ScriptOS\Sprint 2,script-service; grpc; ast; versioning; sprint-2,13,,Script Service Core
77,Task,Implement upsertASTNodes gRPC method with batch INSERT ON CONFLICT for up to 500 nodes,"Implement ScriptService.UpsertASTNodes in services/script/src/handlers/ast.handler.ts. SQL template using pg-format for batch: INSERT INTO script.ast_nodes (id, script_id, parent_id, node_type, position, metadata, revision_color, updated_at) VALUES %L ON CONFLICT (id) DO UPDATE SET parent_id = EXCLUDED.parent_id, node_type = EXCLUDED.node_type, position = EXCLUDED.position, metadata = EXCLUDED.metadata, revision_color = EXCLUDED.revision_color, updated_at = now(). Validate node_type against the 19 valid types in packages/ast NodeType enum before insert. Validate script_id belongs to the caller's org via a single SELECT join. Chunk requests larger than 500 nodes into sequential batches of 500. Performance test in CI: insert 100 nodes → measure p99 latency → assert under 500ms. Integration test: insert 100 nodes, call again updating 50 of them, verify both operations produce correct final state in DB.",,1,New,ScriptOS,ScriptOS\Sprint 2,script-service; grpc; ast; postgres; sprint-2,,8,As a service consumer the Script Service provides gRPC APIs for AST node management version snapshots and draft lifecycle control
78,Task,Implement getSceneSnapshot gRPC method returning computed scene metadata from ast_nodes,"Implement ScriptService.GetSceneSnapshot in services/script/src/handlers/snapshot.handler.ts. Logic: (1) Query ast_nodes WHERE id = sceneId AND node_type = 'scene' — return NOT_FOUND if missing. (2) Query ast_nodes WHERE parent_id = sceneId ORDER BY position to get child elements. (3) Extract headingText from child where node_type = 'scene_heading'; read from metadata.textContent. (4) Build elementCounts: count children by node_type grouping: { action, dialogue, character, parenthetical, transition, general }. (5) Estimate page count: SUM of element line heights where action/general = 1 line per 70 chars, dialogue = 1 line per 35 chars, character/parenthetical/transition = 1 line; divide total by 55 (lines per page); round to nearest 0.125. (6) Return sceneNumber from metadata.sceneNumber. Unit test with mock DB rows: verify elementCounts and estimatedPageCount calculated correctly for known inputs.",,1,New,ScriptOS,ScriptOS\Sprint 2,script-service; grpc; ast; sprint-2,,6,As a service consumer the Script Service provides gRPC APIs for AST node management version snapshots and draft lifecycle control
