ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
252,Epic,SeriesTimeline Continuity & AI Deep Features,"Deliver two capabilities that mature ScriptOS from a production tool into an intelligent series platform: (1) the Continuity Service with the SeriesTimeline graph — cross-episode story-day chronology ingesting continuity assertions from on-set sync, automatic violation detection (wardrobe, injuries, props, relationships), AI-assisted ambiguous case resolution, and a full violation management workflow; and (2) AI Deep Features — character voice registry completion with few-shot reference scenes, semantic cache (pgvector ANN at 0.97 threshold), advanced analytical features (consistency_check, coverage_analysis, structure_analysis), C2PA manifest embedding in PDF exports, and hybrid search hardening with BM25/vector weight tuning. This epic ends with the Beta milestone (Sprint 11 end, Week 24): 3 production teams using breakdown + scheduling + on-set module. Reference: Wiki/15-roadmap.md Sprints 11 and 12, Wiki/05-ai-governance.md, Wiki/06-offline-sync.md.","- On-set continuity assertion → syncs to cloud → appears in SeriesTimeline → violation detected if contradictory
- Cross-episode violation: character injury in episode 3 flagged as inconsistent with healthy appearance in episode 4 (story day 6)
- Beta milestone (Sprint 11 end, Week 24): 3 production teams using breakdown + scheduling + on-set
- Continuity Service deployed to staging
- Second dialogue suggestion for same context hits semantic cache (ledger entry model_id = 'semantic_cache')
- Voice violation warning shown when AI suggests a character's forbidden word
- Coverage analysis report generated for a 90-page test script
- Hybrid search tuned: Recall@10 improved ≥ 15% vs pre-tuning baseline on eval set",1,New,ScriptOS,ScriptOS\Sprint 11,continuity; series-timeline; ai-deep; voice-registry; semantic-cache; beta; sprint-11; sprint-12,,,
253,Feature,Continuity Service — SeriesTimeline and Cross-Episode Violation Detection,"Build the Continuity Service to maintain the SeriesTimeline graph: story days across all episodes with assertions (wardrobe, injuries, props, VFX, relationships) attached to story days and time-of-day slots. Ingest assertions from supervisor.assertion.synced NATS events. Detect violations by contradiction rules and AI-assisted checks for ambiguous cases. Surface violations with affected episode context. Violation resolution workflow (mark as resolved/intentional/error). Reference: Wiki/03-data-model.md §4, Wiki/06-offline-sync.md, Wiki/15-roadmap.md Sprint 11.","- Story days created and linked across episodes; assertions ingested within 10s of NATS event
- Violation detection: contradictory assertion on same subject + story day creates violation record
- Cross-episode violation shows impact on downstream episodes
- AI-assisted check resolves ambiguous violations where rule-based detection is inconclusive
- Continuity Service GraphQL subgraph federated into Apollo Router
- Beta milestone: 3 production teams onboarded with continuity module access",1,New,ScriptOS,ScriptOS\Sprint 11,continuity; series-timeline; violation; beta; sprint-11,,,SeriesTimeline Continuity & AI Deep Features
254,Feature,Character Voice Registry and Few-Shot AI Dialogue,"Complete the character voice registry: manage 3–5 reference scenes per character that are injected as few-shot dialogue examples into AI context. Enhance AI dialogue suggestions to enforce voice profiles (forbidden words, vocabulary level, speech patterns). Voice violation warnings shown inline in suggestion panel. Reference: Wiki/05-ai-governance.md, Wiki/15-roadmap.md Sprint 12.","- Reference scenes selectable per character; stored as voiceProfile.referenceSceneIds
- AI context assembler uses reference scene dialogue as few-shot examples in cacheable prefix
- Voice violation warning shown when AI suggestion contains forbidden word for target character
- Voice profile editor fully functional in Bible panel: vocabularyLevel, speechPatterns, forbiddenWords",2,New,ScriptOS,ScriptOS\Sprint 12,voice-registry; ai; few-shot; sprint-12,,,SeriesTimeline Continuity & AI Deep Features
255,Feature,AI Semantic Cache and Advanced Analytics,"Implement the AI semantic cache using pgvector ANN search (0.97 threshold) with TTL (24h creative, 7d analytical). Deliver advanced AI features: consistency_check (non-generative, Tier 1), coverage_analysis (Tier 3 full script report), structure_analysis (act breaks, pacing). C2PA manifest embedding in PDF exports. WGA compliance report export. Reference: Wiki/05-ai-governance.md, Wiki/15-roadmap.md Sprint 12.","- Semantic cache: second identical dialogue request returns cache hit; ledger entry model_id = 'semantic_cache', cost_usd = 0
- Cache TTL: 24h for dialogue_suggestion; 7d for coverage_analysis
- Coverage analysis produces structured report for a 90-page test script
- C2PA manifest embedded in exported PDF; contains com.scriptos.ai_involvement assertion
- WGA compliance report exports correct JSON for test project with 50+ AI interactions",2,New,ScriptOS,ScriptOS\Sprint 12,semantic-cache; coverage-analysis; c2pa; wga; sprint-12,,,SeriesTimeline Continuity & AI Deep Features
256,Feature,Hybrid Search Hardening and Faceted Filters,"Tune Elasticsearch BM25 parameters (b, k1) and vector-to-BM25 weight ratio in RRF. Validate on a human-evaluated test set. Add faceted search (filter by episode, scene type, character name). Measure and assert Recall@10 improvement of ≥ 15% vs pre-tuning baseline. Reference: Wiki/10-search.md, Wiki/15-roadmap.md Sprint 12.","- Recall@10 improved ≥ 15% on eval set after BM25 + RRF tuning
- Faceted search: character filter returns only scenes containing that character
- Facet aggregations returned alongside search results for filter UI
- Search GraphQL updated with facet input types and aggregation output",3,New,ScriptOS,ScriptOS\Sprint 12,search; elasticsearch; tuning; facets; sprint-12,,,SeriesTimeline Continuity & AI Deep Features
257,User Story,As a continuity supervisor I can track cross-episode continuity assertions on a story day timeline and see violations automatically detected,"Cross-episode continuity tracking is one of the most labour-intensive tasks in multi-episode production. The SeriesTimeline provides a single source of truth for what happened on each story day across all episodes. Violations surface automatically so the continuity supervisor doesn't have to manually compare episode notes. Reference: Wiki/03-data-model.md §4.","- SeriesTimeline view shows story days as horizontal timeline; each day lists assertions grouped by subject
- Continuity assertions from on-set Tauri app sync to cloud and appear in SeriesTimeline within 10s
- Violation detected when two assertions on the same subject and story day are contradictory (e.g. 'wearing blue shirt' vs 'wearing red shirt')
- Cross-episode violation: character injury in episode 3 flagged as inconsistent with healed state in episode 4 (story day 6)
- Violation detail shows both conflicting assertions with source episode, scene, and take
- Violation severity levels: ERROR (must resolve before lock), WARNING (review recommended), INFO (informational)",1,New,ScriptOS,ScriptOS\Sprint 11,continuity; supervisor; series-timeline; sprint-11,8,,Continuity Service — SeriesTimeline and Cross-Episode Violation Detection
258,User Story,As a continuity supervisor I can resolve violations by marking them as resolved intentional or an error so the violation list stays actionable,"Without a resolution workflow, the violation list grows indefinitely and becomes noise. Resolved violations should be archived with the resolution reason so decisions are auditable. Intentional violations (e.g. a character's wardrobe inconsistency is deliberate for a dream sequence) are valid and should be preserved as context. Reference: Wiki/03-data-model.md §4.","- Violation can be marked as resolved (contradiction corrected at source), intentional (deliberate for creative reason), or error (false positive — rule was wrong)
- Resolution requires a text note explaining the decision
- Resolved/intentional violations move to the 'Archived' tab; ERROR violations cannot be archived without note
- Resolution recorded with actor (user) and timestamp in audit log
- Unresolved ERROR violations block publish-saga policy validation (Sprint 15 full Legal Service integration)",2,New,ScriptOS,ScriptOS\Sprint 11,continuity; violation-resolution; sprint-11,5,,Continuity Service — SeriesTimeline and Cross-Episode Violation Detection
259,User Story,As a writer AI dialogue suggestions respect my character's voice profile and warn me when the AI suggests vocabulary that violates their established voice,"Voice consistency is one of the defining qualities of great television writing. If Walter White suddenly uses millennial slang, the AI has failed the writer. Character voice profiles must gate AI suggestions before they reach the writer. Warnings must be specific ('WALTER would not say literally') not generic. Reference: Wiki/05-ai-governance.md.","- Voice profile editor fully functional: vocabularyLevel (BASIC/CONVERSATIONAL/SOPHISTICATED/TECHNICAL), speechPatterns (tag list), forbiddenWords (red chip list), referenceSceneIds (scene picker)
- requestDialogueSuggestion: character guard checks suggestion text against forbiddenWords before returning
- Voice violation: panel shows amber warning 'Flagged: [CHARACTER] would not use this vocabulary' with the specific forbidden word highlighted
- Reference scenes injected as few-shot examples in AI context; dialogue suggestions measurably match character's established patterns",2,New,ScriptOS,ScriptOS\Sprint 12,voice-registry; ai; character-voice; sprint-12,8,,Character Voice Registry and Few-Shot AI Dialogue
260,User Story,As a writer repeated AI queries for the same context are served from the semantic cache instantly at zero cost so I can iterate rapidly on dialogue,"Waiting 3-5s per AI suggestion interrupts creative flow. The semantic cache avoids redundant API calls for similar queries. Writers often rephrase the same request slightly — the 0.97 embedding similarity threshold catches semantically identical queries. Cache hits are free and instant. Reference: Wiki/05-ai-governance.md.","- Second dialogue suggestion for same scene and character context returns from cache in < 200ms
- Cache hit visible in AI ledger: model_id = 'semantic_cache', cost_usd = 0
- Cache miss on significantly different query (different character or different scene) — does not hit stale cache
- Cache TTL respected: 24h for dialogue_suggestion; expired entries not returned (re-fetches from model)
- Cache reduces AI costs by ≥ 30% in a simulated 10-writer alpha session",2,New,ScriptOS,ScriptOS\Sprint 12,semantic-cache; ai; performance; sprint-12,5,,AI Semantic Cache and Advanced Analytics
261,Task,Create Atlas DDL for series_timeline.timeline_story_days story_day_scenes continuity_assertions and assertion_violations tables,"In packages/db/schema/series_timeline.hcl: (1) series_timeline.timeline_story_days: id UUID PK, project_id UUID FK, story_day_number INT, calendar_date DATE, episode_id UUID (nullable for multi-ep days), notes TEXT, created_at TIMESTAMPTZ. (2) series_timeline.story_day_scenes: id UUID PK, story_day_id UUID FK, scene_id UUID, episode_id UUID, time_of_day ENUM(DAWN,MORNING,AFTERNOON,EVENING,NIGHT,CONTINUOUS). (3) series_timeline.continuity_assertions: id UUID PK, story_day_id UUID FK, subject TEXT NOT NULL, assertion_text TEXT NOT NULL, assertion_type ENUM(wardrobe,injury,prop,relationship,vfx,location), confidence FLOAT4, photo_s3_key TEXT, source_episode_id UUID, source_scene_id UUID, source_take_id UUID, created_at TIMESTAMPTZ, is_synced_from_onset BOOL DEFAULT false. (4) series_timeline.assertion_violations: id UUID PK, assertion_a_id UUID FK, assertion_b_id UUID FK, violation_type TEXT, severity ENUM(ERROR,WARNING,INFO), status ENUM(open,resolved,intentional,error), resolution_note TEXT, resolved_by UUID, resolved_at TIMESTAMPTZ, detected_at TIMESTAMPTZ. Indexes: (project_id, story_day_number) on story_days; (story_day_id, subject, assertion_type) on assertions. Apply.",,1,New,ScriptOS,ScriptOS\Sprint 11,continuity; ddl; atlas; sprint-11,,8,As a continuity supervisor I can track cross-episode continuity assertions on a story day timeline
