ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
305,Epic,Story Development GA Hardening & Launch,"Sprint 17 delivers the story development layer: beat board data model (Neo4j beats → scenes with arc assignment), arc CRUD (protagonist/antagonist/subplot), beat board UI (index cards on virtual corkboard), arc swimlane view, accounting export (EP Budgeting XLSX), Elasticsearch BM25/RRF tuning, faceted search, and cross-episode continuity timeline UI. Sprint 18 is GA hardening: separate production GKE cluster, multi-region DR (Postgres read replica, RPO < 5 min, RTO < 15 min), PagerDuty alerting, Tier 1 incident runbooks, Atlas migration rollback verification, Unleash P2 feature flags, y-redis migration (Hocuspocus → y-redis), pricing enforcement (Indie/Professional tiers), full SCIM provisioning for enterprise SSO, onboarding flow (< 5 min), empty state UX, in-app help, mobile-responsive web, and error states. GA milestone at Sprint 18 end (Week 38). Reference: Wiki/15-roadmap.md Sprints 17–18.","Beat board UI: cards reorderable and linked to script scenes; Cross-episode continuity timeline rendered for a 3-episode test project; Accounting export produces valid EP Budgeting XLSX; Hybrid search tuned — Recall@10 improved ≥ 15% and faceted filters working; Production GKE cluster live with DNS configured; DR failover tested — RPO < 5 min and RTO < 15 min; Onboarding flow completed by new user in < 5 minutes; y-redis deployed and tested with 20 concurrent CRDT editors; All Tier 1 runbooks written and reviewed; GA milestone: full platform available",Critical,New,ScriptOS,ScriptOS\Sprint 17-18,"story-development,beat-board,ga-hardening,y-redis,scim,onboarding,dr,devops",,
306,Feature,Story Development — Beat Boards and Arc View,"Neo4j beat board data model: Beat nodes linked to scenes with beat type and arc assignment. Arc CRUD (protagonist arc, antagonist arc, subplot arcs). Beat board UI: index cards on virtual corkboard with drag-to-reorder. Arc swimlane view: character arcs visualized across story days. Cross-episode continuity timeline UI (full series view). Reference: Wiki/15-roadmap.md Sprint 17; Wiki/03-data-model.md Bible Graph.","Beat nodes created in Neo4j with scene links; Arcs created with beat assignments; Beat board drag-to-reorder working; Arc swimlane rendered; Cross-episode timeline rendered for 3-episode test project",High,New,ScriptOS,ScriptOS\Sprint 17,"story-development,beat-board,arc,neo4j,continuity",,305
307,Feature,Budget Accounting Export and Hybrid Search Hardening,"Budget Service: accounting export in EP Budgeting-compatible XLSX format. Elasticsearch hybrid search tuning: BM25 b/k1 parameters + RRF vector weight optimisation. Faceted search filters (episode, scene type, character). Reference: Wiki/15-roadmap.md Sprint 17; Wiki/08-production-modules.md.","EP Budgeting XLSX validates against template; Recall@10 improved ≥ 15% on eval set; Faceted filters return correct scene subsets; Advanced search UI filters by character/location/episode/scene status",High,New,ScriptOS,ScriptOS\Sprint 17,"budget,accounting,search,elasticsearch,facets,tuning",,305
308,Feature,GA Infrastructure — Production Environment and Disaster Recovery,"Separate production GKE Autopilot cluster from staging. Multi-region DR: Postgres read replica in secondary region. PagerDuty alerting (P99 > 1 s, error rate > 1%, disk > 80%). Tier 1 incident runbooks (DB failover, NATS outage, Temporal stuck workflow). Atlas migration rollback procedure verified. Unleash feature flags for all P2 features (default off). y-redis migration: Hocuspocus → y-redis for horizontal CRDT scaling. Reference: Wiki/15-roadmap.md Sprint 18; Wiki/12-infrastructure.md.","Production cluster live; DNS configured; Postgres read replica in secondary region; RPO < 5 min and RTO < 15 min verified; PagerDuty on-call rotation configured; Test alert fires and pages; Tier 1 runbooks reviewed by team; Atlas migration apply + rollback round-trip tested on staging; y-redis Deployment + HPA running; CRDT sync verified through y-redis with 20 concurrent editors",Critical,New,ScriptOS,ScriptOS\Sprint 18,"devops,gke,dr,pagerduty,y-redis,runbooks,atlas,unleash",,305
309,Feature,GA Product Polish — Pricing Enforcement SCIM Onboarding and UX,"Pricing enforcement: Indie tier blocks AI generation beyond free quota; Professional token quota enforced. Full SCIM provisioning for enterprise SSO (Okta tested). Onboarding flow: new user → create org → create project → import script → invite collaborator in < 5 min. Empty state UX for all panels. In-app help: tooltips + keyboard shortcut cheat sheet. Mobile-responsive web (tablet breakpoint). Error states: graceful degradation when services unavailable. Reference: Wiki/15-roadmap.md Sprint 18; ADR-029 pricing.","Indie tier blocks AI generation at quota; Professional tier enforces token cap; SCIM endpoint creates/deactivates users from Okta; New user onboarding completed in < 5 minutes; All panels have empty states with CTA buttons; ? key opens shortcut reference; Core pages usable on iPad in portrait; API errors show toast notifications with no blank screens",High,New,ScriptOS,ScriptOS\Sprint 18,"pricing,scim,onboarding,ux,mobile,empty-states,a11y",,305
310,User Story,As a writer I can visualise my story structure on a beat board and track character arcs across the full series timeline,"Beat board and arc view provide visual story development tools in the web app. Beats link to script scenes; arcs span story days across episodes.","Beat board shows index cards for all beats in corkboard layout; Cards drag to reorder; Each card shows beat type arc and linked scene; Arc swimlane renders protagonist/antagonist/subplot arcs across story day axis; Cross-episode continuity timeline shows all story days from all episodes in one unified view; On-set assertions visible as pins on the timeline",High,New,ScriptOS,ScriptOS\Sprint 17,"story-development,beat-board,arc,ui",13,,306
311,User Story,As a production accountant I can export the ScriptOS budget in EP Budgeting XLSX format and search for specific elements using faceted filters,"Accounting export and search hardening deliver the last P1 production planning features before GA.","EP Budgeting export: account codes map correctly; XLSX opens in Excel without errors; All cost lines present; Faceted search: episode filter returns only scenes from selected episode; Character filter returns only scenes featuring that character; Combined filters work correctly; Search results ranked by relevance with BM25 + vector RRF",High,New,ScriptOS,ScriptOS\Sprint 17,"budget,accounting,search,facets",8,,307
312,User Story,As a DevOps engineer the production environment is live with disaster recovery tested and monitoring in place before GA,"Production infrastructure must be completely separate from staging with verified DR and full observability before GA.","Production GKE cluster provisioned and DNS pointing to production; Postgres read replica replicating lag < 30 s; DR failover drill: primary shutdown → read replica promoted → traffic restored within RTO; PagerDuty alert fires within 60 s of P99 threshold breach; All Tier 1 runbooks stored in team knowledge base and reviewed; y-redis handles 20 concurrent CRDT editors without data loss; P2 Unleash flags all in off state on production",Critical,New,ScriptOS,ScriptOS\Sprint 18,"devops,dr,monitoring,y-redis,runbooks",13,,308
313,User Story,As an enterprise admin I can provision and deprovision users automatically via SCIM and team members complete onboarding in under 5 minutes,"Enterprise readiness and new-user experience polish are GA requirements for commercial launch.","SCIM /Users endpoint: POST creates user; PATCH deactivates; tested with Okta SCIM connector; Pricing tiers: Indie account AI generation blocked at 50 generations/month; Professional quota enforced; New user test: org create → project create → FDX import → invite sent in < 5 min; All empty states have actionable CTAs; Error state: API unavailable → toast shown; no spinner loops or blank pages; Mobile: script editor and scene list usable on 768 px viewport",High,New,ScriptOS,ScriptOS\Sprint 18,"scim,pricing,onboarding,ux",8,,309
314,Task,Implement Beat board data model in Neo4j: Beat node (id uuid type beatType title description storyDayId arcId sceneId orderIndex); implement BeatArc node (id type name characterId); implement arc CRUD gRPC in Bible Service; NATS event bible.beat.created on beat creation,"Beat nodes created and linked to scene via HAS_BEAT relationship; Arc nodes linked to beats; getBeatsForProject(projectId) returns ordered beat list; createArc and assignBeatToArc mutations work",High,New,ScriptOS,ScriptOS\Sprint 17,"neo4j,bible-service,beat-board,grpc",,8,310
315,Task,Build beat board GraphQL subgraph extension in Bible Service: Beat and BeatArc types; createBeat updateBeat reorderBeats deleteArc mutations; beatsForScript and arcsForProject queries; resolver wires to gRPC,"createBeat mutation returns Beat; reorderBeats accepts [{ beatId orderIndex }] list; arcsForProject returns arcs with nested beats; beats field added to Scene type in Script subgraph via @key federation",High,New,ScriptOS,ScriptOS\Sprint 17,"graphql,bible-service,beat-board,federation",,6,310
