ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
120,Epic,Import Pipeline & Series Bible,"Deliver the Import Pipeline (FDX, Fountain, and PDF parsing orchestrated via Temporal sagas with confidence scoring and user review) and the Series Bible Service (Neo4j-backed character, location, fact, and world-rule graph with voice profiles and canon consistency checking). Epic 3 transforms ScriptOS from a greenfield authoring tool into a platform production teams can actually adopt: writers migrate existing scripts from Final Draft and Fountain without friction, and showrunners build out their series bible with character voices, world rules, and canon facts that feed AI grounding in Epic 4. The alpha milestone (Week 14, Sprint 6 end) depends on this epic being complete — the AI Service uses the Bible Service for context assembly. Reference: Wiki/15-roadmap.md Sprints 4 and 5, Wiki/03-data-model.md Series Bible Graph, Wiki/13-import-migration.md.","- FDX round-trip CI test: 10 reference scripts pass import → export → re-import with structural equality
- FDX end-to-end: upload → Import Saga completes → script editable in CRDT editor
- Fountain end-to-end: 5 reference files import with confidence ≥ 0.90
- Import provenance record written; original file archived in S3
- Batch import of 3-episode zip completes in under 3 minutes
- Import Service deployed to staging
- Character, location, and fact round-trip in Neo4j: create → link to scene → query via gRPC
- Canon consistency check returns conflicts for a known contradictory test case
- Bible GraphQL subgraph federated into Apollo Router
- Character names auto-extracted from script on every checkpoint event
- Bible panel functional in web app; facts editable inline
- Series Bible Service deployed to staging with Neo4j Aura connection",1,New,ScriptOS,ScriptOS\Sprint 4,import-pipeline; bible-service; neo4j; temporal; sprint-4; sprint-5,,,
121,Feature,Import Pipeline,"The Import Service accepts FDX, Fountain, PDF, and scanned PDF files and converts them to the canonical Script AST via a five-stage pipeline: format detection → parser → normalization → confidence scoring → provenance record. The Import Saga (Temporal workflow) orchestrates the full lifecycle including a human-in-the-loop review step for low-confidence elements, then persists the AST to the Script Service and fires the NATS checkpointed event to trigger Elasticsearch indexing. Batch import handles zip archives of multiple episode files. Reference: Wiki/13-import-migration.md, Wiki/15-roadmap.md Sprint 4.","- Import Service auto-detects format from file extension and magic bytes; all 4 formats correctly identified
- FDX parser: 10 reference files parse with confidence ≥ 0.95; all AST node types correctly mapped
- Fountain parser: 5 reference files parse with confidence ≥ 0.90
- PDF parser: 3 digital PDF screenplays parse with correct element type classification
- Every imported AST node carries a confidence score (0.0–1.0); nodes below 0.70 flagged
- ImportProvenance record written; S3 archive of original file
- Import Saga end-to-end for FDX completes in under 60s (excluding user review wait)
- Batch import of 5-episode zip completes in under 3 minutes; episode numbers inferred from filenames
- 10 reference FDX scripts pass round-trip CI test (FDX → AST → FDX → assert structural equality)
- Revision colors preserved from FDX RevisionChange attributes on all imported nodes
- Import Service deployed to staging",1,New,ScriptOS,ScriptOS\Sprint 4,import-pipeline; temporal; fdx; fountain; pdf; sprint-4,,,Import Pipeline & Series Bible
122,User Story,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring,"Writers have years of work in Final Draft and other tools. The import path must be friction-free and trustworthy — the confidence scoring system tells writers exactly what the parser was uncertain about so they can fix it before it propagates into breakdown and scheduling. High-fidelity FDX round-trip is P0: writers who need to send scripts back to collaborators using Final Draft must not lose data. Reference: Wiki/13-import-migration.md, Wiki/15-roadmap.md Sprint 4 backend tasks.","- Import Service detects format from file extension: .fdx → FDX, .fountain/.spmd → Fountain, .pdf → PDF digital or PDF scanned; detection confirmed on a 5-file test set with 100% accuracy
- FDX parser maps all FDX Paragraph Types to AST node types per Wiki/13 mapping table; SceneProperties metadata preserved; HeaderAndFooter revision info captured; 10 reference FDX files parse with confidence ≥ 0.95
- Fountain parser handles: INT./EXT. scene headings, ALL CAPS character names, (parenthetical) blocks, dialogue, transitions ending in TO: or starting with >; dual dialogue with ^ suffix; 5 reference files parse with confidence ≥ 0.90
- PDF parser: pdftotext or PyMuPDF extracts text with position data; positional heuristics classify elements by left-margin position and caps pattern; 3 digital PDF scripts parse with correct element types
- AST normalization: all parsers produce uniform ASTNode array with id (UUIDv7), parentId, nodeType, position, metadata, confidence score (0.0–1.0)
- Confidence thresholds: ≥ 0.95 auto-accepted; 0.75–0.94 yellow warning; 0.50–0.74 orange + manual review required; below 0.50 red + must correct before persist
- ImportProvenance record: { importId, orgId, scriptId, originalFormat, originalFilename, s3ArchiveKey, parserVersion, overallConfidence, importedAt, warnings[] }
- Original file archived to S3 at scriptos-media/{orgId}/imports/{importId}/original.{ext} before parsing begins",1,New,ScriptOS,ScriptOS\Sprint 4,import-service; fdx; fountain; pdf; confidence-scoring; sprint-4,13,,Import Pipeline
123,Task,Implement format detection module with magic-byte and extension-based classifier in the Import Service,"Create services/import/src/detection/format-detector.ts. Export detectFormat(file: { name: string; buffer: Buffer }): ImportFormat enum { FDX, FOUNTAIN, PDF_DIGITAL, PDF_SCANNED, UNKNOWN }. Detection logic: (1) Extension check: .fdx → FDX; .fountain, .spmd → FOUNTAIN; .pdf → run PDF subtype check. (2) Magic bytes: PDF files start with %PDF-; verify. (3) FDX magic: parse first 256 bytes as UTF-8; check for <FinalDraft root element. (4) PDF subtype: use pdftotext (spawn child process) on the first page; if output has ≥ 50 characters → PDF_DIGITAL; else → PDF_SCANNED (likely image-based). (5) Default: UNKNOWN → return error. Write Vitest test with 5 sample buffers (one per expected format plus UNKNOWN); assert correct detection for all.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; detection; sprint-4,,4,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
124,Task,Implement FDX parser mapping Final Draft XML elements to all 19 AST node types,"Create services/import/src/parsers/fdx-parser.ts. Install: fast-xml-parser. Parser logic: (1) Parse FDX XML into DOM using fast-xml-parser with attribute handling. (2) Walk the FinalDraft > Content > Paragraph elements. (3) Map Paragraph Type attribute to AST node type: Scene Heading → scene_heading, Action → action, Character → character_name, Dialogue → dialogue, Parenthetical → parenthetical, Transition → transition, Shot → action (with metadata.isShot=true), General → general. (4) Extract SceneProperties for scene metadata: sceneNumber, sceneIntExt, sceneDay, sceneLocation. (5) Build parent/child hierarchy: each Scene Heading starts a new Scene node (UUIDv7); all following elements until the next Scene Heading become children. (6) Assign confidence: Paragraph elements with known Type → 0.99; unknown Type → 0.65; elements with empty text → 0.80. (7) Capture RevisionChange attributes per Paragraph for revision_color mapping (White, Blue, Pink, Yellow, Green, Goldenrod, Buff, Salmon, Cherry, Tan, Sage, Lilac, Double White). Integration test: parse 3 reference FDX files from services/import/test-fixtures/; assert node counts, types, and scene structure.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; fdx; parser; sprint-4,,12,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
125,Task,Implement Fountain parser handling all Fountain spec element types including dual dialogue,"Create services/import/src/parsers/fountain-parser.ts. Implement the Fountain spec from fountain.io. Parsing rules: (1) Scene headings: lines starting with INT., EXT., INT./EXT., I/E, or a lone . (forced). Assign confidence 0.99 for INT./EXT. patterns; 0.85 for forced headings. (2) Action: any block not matching other patterns. (3) Character: line in ALL CAPS (optionally with (V.O.), (O.S.), (O.C.) suffixes) immediately before dialogue. (4) Dialogue: block following a character line. (5) Parenthetical: line in (parentheses) between character and dialogue. (6) Transition: lines ending with TO: or starting with > (centered transitions). (7) Dual dialogue: ^ character marker triggers dual dialogue; wrap both dialogue groups in dual_dialogue node. (8) Page breaks: === marks explicit page break. (9) Title page: key-value pairs before the first blank line + scene heading. Build scene tree by grouping elements from one scene heading to the next. Confidence scoring: well-formed patterns → 0.95; ambiguous patterns → 0.72. Test against 3 reference Fountain files; assert scene count, character count, and element type distribution.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; fountain; parser; sprint-4,,8,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
126,Task,Implement PDF text extraction with positional heuristics for element type classification,"Create services/import/src/parsers/pdf-parser.ts. Strategy: (1) Spawn pdftotext -layout -bbox child process to extract text with bounding-box coordinates per word. Parse output to get (text, x, y, width, height) per text block. (2) Group text blocks into lines by y-coordinate proximity (within 2pt). (3) Apply positional heuristics to classify each line: if x < 100px and text.startsWith('INT.') or 'EXT.' → scene_heading (confidence 0.97); if text === text.toUpperCase() and x between 200-280px → character_name (confidence 0.85); if x between 150-250px and line follows character → dialogue (confidence 0.82); if x < 120px → action (confidence 0.78); if text.endsWith('TO:') → transition (confidence 0.95); if text matches (parenthetical) pattern → parenthetical (confidence 0.88). (4) Merge multi-line elements into single AST nodes. (5) Group by scene headings into scenes. For scanned PDFs: log warning and return SCANNED_PDF_REQUIRES_OCR error — OCR is a Phase 2 feature. Test against 2 digital PDF reference files; assert element type accuracy ≥ 75%.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; pdf; parser; sprint-4,,8,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
127,Task,Implement AST normalization layer and confidence scoring aggregation across all parsers,"Create services/import/src/normalization/normalizer.ts. This layer takes the raw parser output (parser-specific intermediate representation) and produces a uniform ASTNode array. Normalization steps: (1) Assign UUIDv7 IDs to all nodes (id = uuidv7()). (2) Build parent-child hierarchy: project → script → act (if explicit) → scene → element nodes; assign position as fractional float64 index. (3) Normalize metadata: merge all parser-specific fields into the standard metadata jsonb structure per Wiki/03-data-model.md. (4) Confidence aggregation: ImportWarning[] = nodes where confidence < 0.95; each warning has { nodeId, nodeType, confidence, reason }. (5) Overall confidence = weighted average of all node confidences (scene_heading and character_name weighted 2×; action and dialogue weighted 1×). (6) Validate against ASTNode invariants from Wiki/03: every scene must have exactly one scene_heading as first child; dialogue_group must have character_name. Fix violations automatically where possible; flag unfixable as errors. Export normalize(rawNodes: RawNode[], format: ImportFormat): { nodes: ASTNode[]; warnings: ImportWarning[]; overallConfidence: number }.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; normalization; ast; sprint-4,,8,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
128,Task,Implement ImportProvenance record creation and S3 archive upload before parsing begins,"Create services/import/src/provenance/provenance.ts. Export createProvenance(file: UploadedFile, orgId: string, scriptId: string): Promise<ImportProvenance>. Logic: (1) Generate importId (UUIDv7). (2) Upload original file to S3 before any parsing: key = scriptos-media/{orgId}/imports/{importId}/original.{ext}; use AWS SDK PutObject with Content-Type from detected format; await confirmation. (3) INSERT into import.import_provenance (importId, orgId, scriptId, originalFormat, originalFilename, s3ArchiveKey, parserVersion, importedAt, status='pending'). (4) Return ImportProvenance record. On S3 upload failure: throw — do not proceed with parsing if original file is not safely archived. Add Atlas schema for import.import_provenance table in packages/db/schema/import.hcl: id uuid PK, org_id, script_id FK, original_format, original_filename, s3_archive_key, parser_version, overall_confidence, status CHECK('pending','reviewing','complete','failed'), warnings jsonb, imported_at, completed_at. Integration test: upload 1KB fake file → verify S3 object exists → verify DB row created.",,1,New,ScriptOS,ScriptOS\Sprint 4,import-service; provenance; s3; postgres; sprint-4,,4,As a writer I can import existing FDX Fountain and PDF scripts into ScriptOS with automatic format detection and per-element confidence scoring
129,User Story,As a developer the Import Saga orchestrates the full import lifecycle end-to-end via Temporal with human-in-the-loop review and batch zip support,"The Import Saga is a Temporal workflow that sequences all import pipeline steps reliably, handles failures with compensation, and pauses at the human review step for low-confidence imports. Temporal's durable execution guarantees that an import is never lost even if the worker pod restarts mid-import. The batch saga enables showrunners to import an entire season's worth of scripts from a zip file in a single operation with episode number auto-inference. Reference: Wiki/07-workflow-orchestration.md Temporal patterns, Wiki/15-roadmap.md Sprint 4.","- Import Saga workflow: detect format → create provenance + S3 archive → parse → normalize → if overallConfidence < 0.90: pause and signal UI for review → on review complete: persist AST to Script Service → trigger NATS script.checkpointed → mark provenance complete
- End-to-end import of a single FDX file completes in under 60s (excluding review wait time)
- Human review step: saga pauses at WaitForSignal activity; writer sends reviewComplete signal with accepted/corrected element list; saga resumes; rejected elements excluded from persist
- If worker pod restarts during any step: Temporal replays from last completed activity; no data lost; no duplicate imports
- Batch import saga: accepts zip file S3 key; extracts files; runs a child workflow per file; episode numbers inferred from filename patterns (e.g. 1x01, S01E01, episode_1); completes 5 episodes in under 3 minutes
- Import Saga Temporal worker deployed as workers/import-saga/ Kubernetes Deployment
- Round-trip CI test: 10 reference FDX files pass import → FDX export (via Script Service) → re-import → structural equality assertion",1,New,ScriptOS,ScriptOS\Sprint 4,temporal; import-saga; workflow; sprint-4,13,,Import Pipeline
