ID,Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Area Path,Iteration Path,Tags,Story Points,Original Estimate Hours,Parent
271,Epic,On-Set Polish & Editorial Round-Trip,"Sprint 13 polishes the Tauri on-set app to production-ready quality: 72-hour offline simulation test, Basecamp self-hosted mode, day-end turnover PDF generation, conflict resolution UI, and Loro CRDT persistence for continuity notes on-set. Sprint 14 delivers the full editorial round-trip: OTIO and AAF export from the Script AST (with scriptos.* custom metadata), correlation DB, EDL export, format normaliser (AAF/EDL → OTIO via Python subprocess), diff engine (omissions, reorders, take changes, untracked clips), editorial re-import Temporal saga, and Frame.io OAuth integration with webhook comment linkage. Together these two sprints complete the production-to-post handoff loop and prepare ScriptOS for GA. Reference: Wiki/15-roadmap.md Sprints 13 and 14, Wiki/09-post-production.md, ADR-007, ADR-022, ADR-023.","- 72-hour offline test: 300 takes, 100 assertions, 50 photos — all sync correctly on reconnect
- Basecamp mode: 3 Tauri clients sync via local WiFi (no internet) to basecamp laptop
- Day-end turnover PDF generated for a test shooting day
- Tauri app auto-updates to new version via Tauri updater
- OTIO export: clips have scriptos.scene_id in custom metadata
- AAF export: SCRIPTOS_SCENE_ID in Avid SourceMob custom data
- Editorial diff detects omissions, reorders, take changes, and untracked clips correctly
- Correlation DB fallback matching: correct scene IDs resolved after stripping OTIO metadata
- Editorial re-import saga: approved operations applied to script graph
- Frame.io comment received and linked to take within 5s of webhook delivery",1,New,ScriptOS,ScriptOS\Sprint 13,on-set; tauri; editorial; otio; aaf; frame-io; sprint-13; sprint-14,,,
272,Feature,Tauri On-Set App Polish and Basecamp Mode,"Production-harden the Tauri on-set app for real shooting days: 72-hour offline simulation test, Basecamp self-hosted PowerSync Docker Compose stack, day-end turnover package generation, Loro CRDT for collaborative continuity notes on local WiFi, conflict resolution UI for take disagreements, photo gallery, and Tauri auto-updater. Reference: Wiki/06-offline-sync.md, Wiki/15-roadmap.md Sprint 13.","- 72-hour offline simulation: 300 takes, 100 assertions, 50 photos — all sync correctly
- Basecamp mode: 3 Tauri clients sync via local WiFi without internet
- Day-end turnover PDF generated and saved to Desktop from Tauri
- Tauri auto-update downloads and applies on launch
- Conflict resolution UI: two circled takes flagged; supervisor resolves; resolution syncs",1,New,ScriptOS,ScriptOS\Sprint 13,tauri; on-set; basecamp; offline; sprint-13,,,On-Set Polish & Editorial Round-Trip
273,Feature,Editorial Export — OTIO AAF EDL and Correlation DB,"Export the Script AST to OTIO, AAF (Avid), and EDL (CMX 3600) formats with scriptos.* custom metadata in each. Populate the correlation DB on export. Build the format normaliser (AAF/EDL → OTIO via Python subprocess) and the diff engine (detect omissions, reorders, take changes, untracked clips). Implement the editorial re-import Temporal saga. Reference: Wiki/09-post-production.md, ADR-007, ADR-022, Wiki/15-roadmap.md Sprint 14.","- OTIO export: clips contain scriptos.scene_id and scriptos.take_id in custom metadata
- AAF export: SCRIPTOS_SCENE_ID in Avid SourceMob custom data; valid AAF file importable in Media Composer
- Correlation DB: one record per scene per export; fallback matching resolves scene IDs without metadata
- Diff engine: detects omissions, reorders, take changes, untracked clips correctly on test cases
- Editorial re-import saga: approved operations applied to script graph (scene status updated)",1,New,ScriptOS,ScriptOS\Sprint 14,editorial; otio; aaf; edl; correlation; sprint-14,,,On-Set Polish & Editorial Round-Trip
274,Feature,Frame.io Integration — OAuth and Webhook Comment Linkage,"Connect Frame.io to ScriptOS via OAuth 2.0. Receive Frame.io comment.created webhooks; link comments to ScriptOS takes by timecode + correlation metadata. Display review comments in the web app linked to the relevant take. Reference: ADR-023, Wiki/09-post-production.md, Wiki/15-roadmap.md Sprint 14.","- OAuth flow: 'Connect Frame.io' button → OAuth → frameio_credentials stored → integration shows as active
- Webhook: comment.created from Frame.io → ReviewComment stored in DB within 5s
- Review comment linked to correct take by timecode
- Review comments panel shows: timecode, reviewer name, comment text, take reference",2,New,ScriptOS,ScriptOS\Sprint 14,frame-io; oauth; webhook; sprint-14,,,On-Set Polish & Editorial Round-Trip
275,User Story,As a script supervisor the Tauri on-set app works reliably for a full 12-plus-hour shooting day and the Basecamp offline mode keeps an entire unit working without internet,"The most demanding real-world scenario is a 12-16 hour shooting day in a location with no internet. The app must not lose data, must allow full continuity workflow, and must give the supervisor confidence that everything will sync when connectivity returns. Basecamp mode extends this to an entire unit on a local network. Reference: Wiki/06-offline-sync.md.","- Automated 72-hour offline test: simulate 300 takes, 100 assertions, 50 photo uploads; on reconnect all data appears in cloud Postgres
- Basecamp Docker Compose: `docker compose -f docker-compose.basecamp.yml up` starts local PowerSync + Postgres on a laptop
- 3 Tauri clients connect to basecamp laptop via LAN and sync in real-time
- Basecamp setup script: dumps production project data for offline use
- App auto-update: new version downloaded and applied on launch; no manual install required",1,New,ScriptOS,ScriptOS\Sprint 13,tauri; supervisor; basecamp; offline; sprint-13,13,,Tauri On-Set App Polish and Basecamp Mode
276,User Story,As a script supervisor I can generate a day-end turnover package from the Tauri app and collaborate on continuity notes in real-time with another supervisor via local WiFi,"Day-end turnover is a legally and contractually required deliverable — the lined script, take log, and deviation report must be handed to the production office before wrapping. Collaborative continuity notes on-set enable two supervisors (one per camera) to share context in real-time on local WiFi without depending on cloud connectivity. Reference: Wiki/06-offline-sync.md.","- Day-end turnover PDF: contains lined script pages (scene headings + circle/print/no-print indicators), take log (scene, take number, rating, notes), deviation report (all logged deviations grouped by scene)
- PDF saved to macOS Desktop via Tauri file system API
- Two Tauri devices on same LAN WiFi share continuity note edits in real-time via Loro CRDT over local WebSocket
- Continuity note CRDT state persists in SQLite across Tauri app restarts",2,New,ScriptOS,ScriptOS\Sprint 13,tauri; turnover; crdt; sprint-13,8,,Tauri On-Set App Polish and Basecamp Mode
277,User Story,As a post-production supervisor I can export the Script AST to OTIO AAF and EDL formats and re-import NLE changes with a diff-reviewed approval workflow,"The editorial round-trip is one of the highest-value features for professional productions — it eliminates manual script supervisor notes cross-referencing with editorial. Correlation metadata in every clip ensures changes can be traced back to the correct scene even if the NLE editor has renamed or re-ordered clips. Reference: Wiki/09-post-production.md, ADR-007, ADR-022.","- OTIO export button in editorial export modal; OTIO file downloads within 5s for 100-scene script
- AAF export: file importable in Avid Media Composer without errors; custom data visible in SourceMob
- EDL export: reel names ≤ 8 chars; valid CMX 3600 format
- Correlation DB populated on export: one record per scene with scene_id, version_id, export_batch_id
- Re-import: drag-and-drop OTIO/AAF triggers editorial re-import saga; diff shown in change review UI
- Approved operations applied: omitted scene status set to 'omitted'; reordered scene position updated",1,New,ScriptOS,ScriptOS\Sprint 14,editorial; otio; aaf; edl; post-production; sprint-14,13,,Editorial Export — OTIO AAF EDL and Correlation DB
278,User Story,As a DIT or producer I can connect Frame.io to ScriptOS so that review comments from dailies are linked to the correct takes in the supervisor log,"Frame.io is the industry standard for dailies review. Linking Frame.io comments directly to supervisor take records eliminates the need for manual note cross-referencing and keeps all review feedback in one place. Reference: ADR-023.","- 'Connect Frame.io' button in integration settings opens OAuth flow; on completion shows 'Frame.io connected'
- Incoming comment.created webhook stored as ReviewComment linked to take within 5s
- Comments visible in Review Comments panel: timecode, reviewer name, comment text, take link
- Clicking take link in comments panel navigates to that take in the supervisor log",2,New,ScriptOS,ScriptOS\Sprint 14,frame-io; oauth; producer; sprint-14,5,,Frame.io Integration — OAuth and Webhook Comment Linkage
279,Task,Implement 72-hour offline simulation test Basecamp Docker Compose and Basecamp setup script,"In tests/e2e/offline-72h.test.ts: automated test using Playwright or a custom Tauri test harness. Simulate: (1) Start Tauri app; disable network adapter (macOS NetworkExtension or mock). (2) Run 300 logTake + 100 createContinuityAssertion + 50 attachContinuityPhoto Tauri commands over 72h simulated time (accelerated). (3) Re-enable network. (4) Wait max 120s. (5) Query cloud Postgres; assert all 300 takes, 100 assertions, and 50 photo S3 keys present. In infra/basecamp/docker-compose.basecamp.yml: services: postgres (Cloud SQL image with prod schema), powersync-self-hosted (PowerSync open source Docker image). In scripts/basecamp-setup.sh: pg_dump production project data for one project; apply to local Postgres; start compose stack. Document in docs/basecamp-setup.md. Basecamp LAN test: start 3 Tauri dev instances; point PowerSync endpoint to laptop IP; assert take logged on device A appears on device B within 10s.",,1,New,ScriptOS,ScriptOS\Sprint 13,tauri; basecamp; offline-test; sprint-13,,8,As a script supervisor the Tauri on-set app works reliably for a full 12-plus-hour shooting day
280,Task,Implement day-end turnover PDF generation from Supervisor Service data and expose via Tauri command,"In services/supervisor/src/export/turnover.generator.ts implement generateTurnoverPDF(sessionIds: UUID[]): Promise<Buffer> using PDFKit. Document structure: (1) Header: production name, shoot date, generation timestamp. (2) Lined script section: for each scene session, render scene heading; for each take render row: take number, rating icon (circle/print/no-print/hold), notes text. (3) Deviation report: scenes with deviations grouped; each deviation: type badge (DIALOGUE/ACTION/PROP/WARDROBE), description. (4) Continuity assertions: per scene, list assertions with subject + text + photo thumbnail (if photo_s3_key exists: download thumbnail from S3; embed as JPEG). Format: A4, 12pt Courier for script sections, 10pt Calibri for tables. In Tauri: add Tauri command generate_turnover(shoot_day_id): calls Supervisor Service REST endpoint; receives PDF bytes; writes to ~/Desktop/Turnover_[shootDate].pdf using Tauri fs API. Vitest test: generate turnover for a 3-scene test session; assert PDF is non-empty; assert contains scene headings.",,2,New,ScriptOS,ScriptOS\Sprint 13,tauri; turnover; pdf; sprint-13,,8,As a script supervisor I can generate a day-end turnover package from the Tauri app
